variable_name,shap_importance
ASRIBM,0.5882162
ATBR01A,0.22425747
ATDGRIHY,0.21299501
ACDGTIHY,0.1597845
ASDHELN,0.14813037
ASDHENA,0.07109087
ACBG16,0.06821629
ACBG15,0.06201385
ASDHSES,0.05660845
ATDGEAS,0.05591212
ASDHELA,0.055670228
ATDGLIHY,0.053583723
ASDGSLR,0.04655306
ASDGSCR,0.042922653
ASBH11G,0.040248834
ASBH13,0.040073633
ASBH01F,0.0374479
ATBG12A,0.033694807
ASDGSSB,0.033589732
ASBH01Q,0.033524815
ASBH07C,0.032537974
ASDGHRL,0.032514356
ASBG09B,0.031007804
ASBG10E,0.028992597
ATDGSOS,0.028727628
ASDGERL,0.028468812
ASBH01A,0.027150875
ASBH01J,0.026220443
ASBR07C,0.024167746
ASDHELT,0.023984358
ASBH01B,0.023096208
ASBR08E,0.022095073
ASBR07F,0.021067616
ASBR08A,0.020879736
ATBR02B,0.020822585
ASBG10A,0.020778857
ASBG09E,0.020443479
ATBG10C,0.020082267
ACBG12C,0.019962694
ASBR01A,0.019678632
ATBG11F,0.01918827
ASBH01N,0.019181928
ASBR01G,0.019136515
ATBG10H,0.018342197
ASBR03A,0.018083945
ACBG11A,0.018026832
ASBG10C,0.017892985
ATBG10F,0.017744621
ASBR08B,0.017627306
ATBG10J,0.01708013
ATBG11D,0.016417628
ASBR01B,0.016304262
ASBR02B,0.016286785
ATBG12D,0.016238727
ASBR01F,0.015580575
ASBR05,0.0154086165
ASBH07D,0.015009513
ATBG11I,0.014602772
ASDHOCCP,0.014525466
ASDGSEC,0.014390696
ASBH07B,0.013724341
ACDGEAS,0.013681678
ASBH01R,0.013374212
ASBH11F,0.0131362695
ASBH01M,0.01301724
ASBG04,0.012918285
ACBG14L,0.012711953
ASBH01H,0.012613731
ASBR06A,0.011941263
ASBG09F,0.011828683
ASBR06B,0.011675653
ASBH01D,0.011142812
ATBR11B,0.010784243
ASBR03B,0.01077521
ASDHEDUP,0.010757771
ASBR07B,0.010668883
ASBR08D,0.01065402
ATBR09H,0.01003436
ATBG11H,0.00975493
ACBG11C,0.00970677
ASBH12,0.009551837
ATBG10K,0.009496444
ASBH01G,0.00897607
ASBH17A,0.008935358
ASBR01C,0.008675765
ACBG14F,0.0082276715
ATBR18D,0.0079783555
ACBG11F,0.007901386
ACBG09,0.007789848
ASBH08E,0.0077055898
ACBG14M,0.0076362295
ACBG14H,0.0074937185
ASBH01K,0.0074844984
ATBG11E,0.00724359
ACBG10AG,0.0071894336
ASBR01I,0.006972126
ATBR07BA,0.0068983575
ASBH07E,0.006876938
ATBR12ED,0.0066218264
ATBG10A,0.006569359
ASBR01D,0.0064754277
ATBG01,0.00627696
ATBG11G,0.0062562525
ACBG10AC,0.006233455
ATBR18C,0.006055243
ATBG10E,0.006042786
ATBR12EA,0.0060114777
ATBR13B,0.005894839
ASBH17B,0.0056480886
ATBR19,0.005411955
ACBG10AH,0.0052947686
ASBR07H,0.005241036
ASBR08F,0.005191853
ATBG10G,0.0051720743
ASBR07A,0.005133042
ASBH01L,0.0051136417
ATBG11B,0.00500647
ASBH01C,0.0049620764
ATBG10I,0.004960173
ASBG10B,0.004958309
ATBG10L,0.00493462
ASBH01E,0.0048767533
ATBG12F,0.0048442194
ATDGSLI,0.004822114
ASBH07A,0.0045989444
ASBH01O,0.004479648
ASBR01E,0.0042994902
ATBG07AG,0.004239333
ATBG08A,0.004138209
ASDAGE,0.004077353
ATBR10H,0.0040682857
ASBR08C,0.0040487316
ATBG07BD,0.0039572795
ATBR10L,0.0036632337
ASBH01I,0.003574872
ACBG14K,0.0034777182
ATBG12E,0.0034024385
ATBR06C,0.0032758056
ATBR03H,0.00312376
ASBR07E,0.0030329833
ATBR07AB,0.0030297723
ASBR03C,0.0029004265
ATBR12BC,0.0027463697
ACBG10AF,0.0027197616
ACBG03B,0.0026594428
ACBG11L,0.002649992
ACBG19,0.0025938642
ACBG14G,0.0025648568
ACBG11K,0.0025152892
ACBG13,0.0024715122
ATBG10B,0.0024030183
ACBG10BC,0.0023888345
ACBG11G,0.0023793052
ACBG11D,0.0022735915
ATBR08H,0.002269274
ATBR17B,0.0022183172
ATBR13C,0.0021274548
ASBR07G,0.002084833
ACBG10AB,0.0020334201
ATBR10J,0.0019355142
ASBR07D,0.0017895799
ASBG09D,0.0017675728
ASBH01P,0.0017538383
ATBR03A,0.0016987228
ATBR11A,0.0016928255
ATBG07AF,0.0016895948
ACBG10BB,0.0016480833
ACBG18B,0.001580251
ATBR07BB,0.0015570441
ATBR10A,0.0015038288
ATBG05BF,0.0012605292
ASBH15B,0.0011978282
ACBG10AI,0.0011366594
ATBR03F,0.0011257944
ATBG07BG,0.0011249993
ATBR09G,0.001115344
ATBR11E,0.0010612974
ACBG11J,0.00096869556
ATBG05BB,0.0009012152
ATBG10D,0.0008956274
ATBR09D,0.00088127865
ATBG08C,0.00084985927
ACBG14J,0.0008424751
ATBR18E,0.00083745754
ATBR09F,0.0008345241
ATBR07AA,0.0007568153
ATBR12C,0.0007394769
ATBR07BC,0.00073572283
ATBG06,0.00073440175
ACBG14N,0.0006619258
ATBR10I,0.0006244797
ATBR08C,0.00059659587
ATDGTJS,0.0005222648
ACBG05B,0.00045277702
ACBG10BD,0.00039767582
ATBR08B,0.0003886949
ATBR13D,0.00033833217
ACBG10AD,0.00031894638
ASBH07G,0.00022884118
ACBG14I,7.48506e-05
ACBG03A,0.0
ATBG05BH,0.0
ATBG05BE,0.0
ACDGSBC,0.0
ATBG05AD,0.0
ATBG07AD,0.0
ATBG07BB,0.0
ACBG10AE,0.0
ACBG14E,0.0
ATBR08F,0.0
ATBR08E,0.0
ATBR08D,0.0
ATBR08A,0.0
ATBR06E,0.0
ATBR03E,0.0
ATBR03G,0.0
ATBR06A,0.0
ATBG12C,0.0
ATBG12B,0.0
ATBR12DC,0.0
ATBR12A,0.0
ATBR17C,0.0
ATBR17A,0.0
ATBR16,0.0
ATBR14,0.0
