component,var_name,corr_coeff
dim_01,ASRREA,0.9735809622443772
dim_01,ASRIIE,0.9690530894862559
dim_01,ASRRSI,0.9655676311953683
dim_01,ASRINF,0.9620708384664505
dim_01,ASRLIT,0.957689495357011
dim_02,ASBHELN,0.9676301232561086
dim_02,ASBHELA,0.8885109838462876
dim_02,ASBHENA,0.876045688727758
dim_03,ASBGERL,0.8501229001888423
dim_03,ASBGSSB,0.7717283434343293
dim_03,ASBGSLR,0.7514273507026349
dim_03,ASBGSEC,0.5199298488967895
dim_04,ATBR01A,0.9226972498015393
dim_04,ATBR01B,0.9205103367269319
dim_05,ATBR05,0.9671960291323168
dim_05,ATDGRIHY,0.960601077675331
dim_06,ASBGHRL,0.9387600001159638
dim_06,ASBHSES,0.9380737134261884
dim_07,ACDGTIHY,0.9680583144540506
dim_07,ACBG06B,0.9668147252772825
dim_08,ATDGLIHY,0.9873067775152404
dim_08,ATBR04,0.9870968272338717
dim_09,ACBG15,0.9060597475876663
dim_09,ACBG16,0.8495917755889295
dim_10,ATBGSOS,0.7885253986983116
dim_10,ATBGTJS,0.71263037384192
dim_10,ATBGEAS,0.6227211087391072
dim_11,ASBGDRL,0.7706377355805685
dim_11,ASBGSB,0.7580056151763447
