variable_name,shap_importance
ASRIBM,0.5640778
ATDGRIHY,0.40038037
ATDGLIHY,0.21589603
ACBG11D,0.1707873
ASDGSSB,0.12628944
ACDGEAS,0.12248761
ASDHEDUP,0.11565948
ATBR01B,0.1149652
ACBG12C,0.093575865
ASDGERL,0.09211936
ASBH13,0.09160002
ACBG05A,0.09156354
ATBG10I,0.08985679
ASBH01L,0.08154335
ASDHSES,0.07566865
ACBG12A,0.072439104
ASBH01Q,0.071403615
ATBR02A,0.07025904
ASBG10E,0.06926499
ASDGSLR,0.06893941
ACBG14E,0.06345766
ACBG14G,0.0627954
ASDHELT,0.057707656
ATBG10D,0.057316188
ASBR08E,0.055707276
ASBR01E,0.054577146
ACBG12E,0.054352988
ATBG10H,0.052282996
ASBR08A,0.051260024
ATDGSOS,0.050582748
ASBH12,0.04918397
ATBG12D,0.049173184
ASBH01N,0.04820884
ASBH07D,0.04789489
ASBR01F,0.047814276
ATDGEAS,0.046950072
ASBR08B,0.04518547
ACBG10AI,0.04332965
ASDGSCR,0.04219221
ATBR15,0.04029428
ATDGSLI,0.039283317
ASBH15B,0.03926252
ATBG11D,0.03828487
ATBG01,0.037854694
ACBG18A,0.035241324
ATBG10L,0.03450314
ATBR03C,0.03409029
ATDGTJS,0.03382797
ATBR12BA,0.03354274
ACBG19,0.033474665
ATBG10K,0.032265842
ACBG03B,0.03143713
ASBH07C,0.029809514
ATBG11E,0.02906663
ASBR08D,0.028699452
ATBR09A,0.028598603
ASBH01M,0.026146933
ATBG12F,0.02489095
ASBH07B,0.023827083
ACBG10AG,0.023580685
ATBR19,0.023073029
ASBR07C,0.021873556
ACBG17,0.021332463
ASBR08F,0.021253213
ACBG14H,0.019459046
ASBR07E,0.018817248
ATBR06C,0.018499332
ATBR12EA,0.01722166
ATBG11G,0.015265483
ATBG11I,0.014754975
ATBG10B,0.014653935
ATBR09F,0.014588271
ACBG12I,0.014059217
ATBG10A,0.0139323035
ATBG10C,0.013245405
ACBG11K,0.013084644
ATBG10E,0.012511739
ACBG13,0.012319167
ATBR03G,0.010398689
ATBR10H,0.010334527
ATBR07AB,0.010285647
ACBG03A,0.009710379
ACBG10AD,0.009533996
ACBG10BB,0.009494861
ATBR06D,0.008961383
ACBG12G,0.008028003
ACBG11F,0.007897351
ACBG14F,0.007836
ATBG10G,0.007510041
ATBR10F,0.006509218
ACBG10BA,0.0064223753
ACBG14L,0.006225419
ATBR12EC,0.00558497
ATBG11F,0.0053599263
ATBR12ED,0.0049395934
ATBG12C,0.0045976276
ATBG10F,0.004564461
ACBG10AB,0.0044206535
ACDGSBC,0.0042101126
ATBR10K,0.0038681002
ATBR07BD,0.0037705959
ATBR13B,0.0036820117
ACBG10AH,0.0035468661
ACBG12H,0.0035261493
ACBG10AA,0.003234697
ACBG10AC,0.0026199552
ACBG10AJ,0.0020024225
ATBR09C,0.0018177785
ATBG12A,0.0017872605
ATBR12C,0.001118055
ACBG10BD,0.0008746047
ACBG10BC,0.0007283764
ACBG18B,0.0
ATBR09G,0.0
