component,var_name,corr_coeff
dim_01,ASRREA,0.9765933023360247
dim_01,ASRRSI,0.9747842084606518
dim_01,ASRIIE,0.9733764471957316
dim_01,ASRINF,0.9611857483584237
dim_01,ASRLIT,0.957896129921666
dim_02,ASBHELN,0.9699364885367149
dim_02,ASBHELA,0.8877719629256805
dim_02,ASBHENA,0.8668758932467868
dim_03,ATBGEAS,0.8267766639095209
dim_03,ATBGSOS,0.7558669387262926
dim_03,ATBGTJS,0.6609632441199687
dim_03,ACBG15,0.6480653229419876
dim_04,ASBGERL,0.8345698782662287
dim_04,ASBGSLR,0.7793838430749376
dim_04,ASBGSSB,0.7788893757753607
dim_04,ASBGSEC,0.5187735970575079
dim_05,ACDGTIHY,0.9531405548212882
dim_05,ACBG06B,0.8459723978191838
dim_05,ACBG06A,0.5880598882499619
dim_06,ATBR05,0.9546116462175056
dim_06,ATDGRIHY,0.949554397815723
dim_06,ACBGEAS,0.5529391299447549
dim_07,ATBR01A,0.8233655218221709
dim_07,ATBR01B,0.717896102412424
dim_07,ACBG09,0.6324751553142511
dim_08,ASBHSES,0.9369421764122471
dim_08,ASBGHRL,0.9368372901928897
dim_09,ATDGLIHY,0.9775504823967615
dim_09,ATBR04,0.9744298523575586
dim_10,ATBR02B,0.6512885658830111
dim_10,ATBR02A,0.6157367297815445
dim_10,ACBG16,0.5927929965801437
