component,var_name,var_value,component_mean,component_std
dim_11,ATDGEAS,1,0.4176410338391667,0.11849295827239587
dim_11,ATDGEAS,2,0.10799472331439587,0.23111419495526817
dim_11,ATDGEAS,3,-0.20989561382520666,0.17849403067168407
dim_11,ATBG11F,1,0.15029323368955852,0.2454243959737417
dim_11,ATBG11F,2,-0.1971728652767266,0.1905209103807614
dim_11,ATBG11F,3,-0.21716865888267883,0.12931316242699098
dim_11,ATBG11F,4,-0.27995793836135763,0.06510422623063537
dim_11,ATBG10E,1,0.26047660705455855,0.22502612454962967
dim_11,ATBG10E,2,-0.020118196814836866,0.23420972875784152
dim_11,ATBG10E,3,-0.20182582326353538,0.20514316121651707
dim_11,ATBG10E,4,-0.18092047125042252,0.15381167673684035
dim_11,ATBG10E,5,-0.19238431623577776,0.10122248338948911
dim_11,ACBG11L,1,0.3413100642548698,0.2451907865925369
dim_11,ACBG11L,2,-0.04915506572290262,0.23559254737043883
dim_11,ACBG11L,3,-0.149437653587933,0.17177212564440023
dim_11,ATBR10G,1,0.1939336245765416,0.2191073672175206
dim_11,ATBR10G,2,-0.09411385444137142,0.24567632915030851
dim_11,ATBR10G,3,-0.260973611378283,0.1534726806081205
dim_11,ATBR10G,4,-0.2654771191435281,0.09291981670687186
dim_11,ATBG10I,1,0.41209445343048745,0.19002625601530218
dim_11,ATBG10I,2,0.1797907552141757,0.24894787601056842
dim_11,ATBG10I,3,-0.030145487563139096,0.23719370856323646
dim_11,ATBG10I,4,-0.24428582600418328,0.16538963639185153
dim_11,ATBG10I,5,-0.04230712051608749,0.06976026949137748
dim_11,ATBG10F,1,0.41305560958299464,0.158829945503227
dim_11,ATBG10F,2,0.08344729900947406,0.2599547864988117
dim_11,ATBG10F,3,-0.11665934546554473,0.19389709921872914
dim_11,ATBG10F,4,-0.23412936850406532,0.2772927308882718
dim_11,ATBG10F,5,-0.13771495127871003,0.10141402450709126
dim_11,ATBG10B,1,0.2985632082878525,0.16701783404892048
dim_11,ATBG10B,2,0.011227277866947693,0.25500559428031
dim_11,ATBG10B,3,-0.23252495109016616,0.18334442221971822
dim_11,ATBG10B,4,-0.03202785772276133,0.07532679206088409
dim_11,ACBG11B,1,0.46651422519012764,0.18181878746497215
dim_11,ACBG11B,2,0.019810318236244608,0.24582727368855037
dim_11,ACBG11B,3,-0.1698706668498769,0.19766968866406323
dim_11,ACBG11A,1,0.3291617936798097,0.2223836157813692
dim_11,ACBG11A,2,-0.05286008601581801,0.2388383708455493
dim_11,ACBG11A,3,-0.13576686811694041,0.20542179763585788
dim_11,ATBG10D,1,0.25866241606449936,0.20566349302981107
dim_11,ATBG10D,2,0.012921652248221964,0.25837898186588076
dim_11,ATBG10D,3,-0.2213279370424248,0.17489071203665357
dim_11,ACBG11J,1,0.3173443883221747,0.21894744905392285
dim_11,ACBG11J,2,-0.04252361665032079,0.2556421149828514
dim_11,ACBG11J,3,-0.1334906971426606,0.1894024299365572
dim_11,ATBR10I,1,0.21669639601426005,0.20008878224422239
dim_11,ATBR10I,2,-0.007377933906264623,0.250890443619154
dim_11,ATBR10I,3,-0.237021216098491,0.22548083951399425
dim_11,ATBR10I,4,-0.14244158862210823,0.14270595102833047
dim_11,ATBG10J,1,0.30933614735968185,0.21806514155497822
dim_11,ATBG10J,2,0.09557872314167444,0.2642711648614847
dim_11,ATBG10J,3,-0.17660480150201086,0.18151549121894844
dim_11,ATBG10J,4,-0.3147033662022997,0.12129236387740719
dim_11,ATBG10J,5,-0.04283146732365133,0.04027675513368719
dim_11,ACDGEAS,1,0.41635974588279673,0.18886859364869127
dim_11,ACDGEAS,2,0.009072492921123027,0.24335637343562505
dim_11,ACDGEAS,3,-0.13440935618208555,0.2221105213653114
dim_11,ATBR10J,1,0.1694566902979146,0.21209742423737737
dim_11,ATBR10J,2,0.09740416444876647,0.26159539054578923
dim_11,ATBR10J,3,-0.16383681214646462,0.22347175455465004
dim_11,ATBR10J,4,-0.2726131561433797,0.1579357103569888
dim_11,ACBG11E,1,0.26055781767464375,0.2715091314255186
dim_11,ACBG11E,2,-0.02548952753530599,0.2418898610945652
dim_11,ACBG11E,3,-0.18007033492125665,0.16773838415392422
dim_11,ACBG11E,4,-0.20323139239902324,0.1302968976542947
dim_11,ATBG10K,1,0.3402628671435686,0.056439113410312304
dim_11,ATBG10K,2,0.16604656932679665,0.26167133135034587
dim_11,ATBG10K,3,-0.14482465509271128,0.20640740482911818
dim_11,ATBG10K,4,-0.2279238678084477,0.18011233984656733
dim_11,ATBG10K,5,-0.1289016688425357,0.07478768647441966
dim_11,ATBG11D,1,0.13477544252051826,0.2735091935213234
dim_11,ATBG11D,2,-0.1445133949602069,0.16185915300988635
dim_11,ATBG11D,3,-0.3204706701427053,0.1826639541796028
dim_11,ATBG10G,1,0.39038447124039677,0.12295371020271369
dim_11,ATBG10G,2,0.17333588751306628,0.2696400460940057
dim_11,ATBG10G,3,-0.03723204701288791,0.23713371048934004
dim_11,ATBG10G,4,-0.22037638434157436,0.1890622459041228
dim_11,ATBG10G,5,-0.1306830099764839,0.1152410332735806
dim_11,ATBG10A,1,0.22777595855271635,0.23550590396909152
dim_11,ATBG10A,2,-0.062388607566916124,0.24755041024501004
dim_11,ATBG10A,3,-0.18962702578336865,0.1924352243819194
dim_11,ATBG10A,4,-0.27995793836135763,0.06510422623063537
dim_11,ATBG10C,1,0.2455016811267195,0.2061982271235197
dim_11,ATBG10C,2,0.02141996195848689,0.26901956211601
dim_11,ATBG10C,3,-0.20512208606990248,0.18055968818281318
dim_11,ATBG10C,4,-0.28537248857432906,
dim_11,ATBR10F,1,0.18037223517854672,0.22852919214516124
dim_11,ATBR10F,2,-0.03143568517864818,0.23674572366923974
dim_11,ATBR10F,3,-0.1687044917753266,0.2829918858743389
dim_11,ATBR10F,4,-0.36855100508211924,0.0995515103729857
dim_11,ATBG12C,1,0.1265945371505796,0.2622197558857749
dim_11,ATBG12C,2,-0.14663565202077236,0.1894334879562243
dim_11,ATBG12C,3,-0.2480944138902124,0.21718012255215816
dim_11,ATBR09G,1,0.18253451790051195,0.22080171131975151
dim_11,ATBR09G,2,0.08284580800574859,0.2925472625241007
dim_11,ATBR09G,3,-0.16949953481380495,0.21150194672719166
dim_11,ATBR09G,4,0.024502724681200135,0.21134204794759004
dim_11,ATBG11G,1,0.08503087247073383,0.2603017772803043
dim_11,ATBG11G,2,-0.23361393029155242,0.15707371271113535
dim_11,ATBG11G,3,-0.328882370945198,0.12158447761936611
dim_11,ATBG12D,1,0.13232409273399595,0.26737087402151904
dim_11,ATBG12D,2,-0.12558362377106005,0.19673955095814866
dim_11,ATBG12D,3,-0.20241939436854062,0.20577728310487806
dim_11,ATBG10H,1,0.24181238986893797,0.22523777776655987
dim_11,ATBG10H,2,0.07670728012478041,0.26036803994290664
dim_11,ATBG10H,3,-0.10247904615968273,0.23315281611535713
dim_11,ATBG10H,4,-0.386769610385782,0.1339495851110487
dim_11,ATBG10H,5,-0.06488065107371295,0.08250955610214425
dim_11,ATBR08G,1,0.1367616469825962,0.22572144281049558
dim_11,ATBR08G,2,0.04763126354817516,0.27454789932004553
dim_11,ATBR08G,3,-0.2439640594854715,0.18085033607504847
dim_11,ATBR08G,4,-0.21081295909183592,0.22508098672037705
dim_11,ATDGSOS,1,0.08469352762281779,0.2626832227638557
dim_11,ATDGSOS,2,-0.24050220114787946,0.16972103824137447
dim_11,ATDGSOS,3,-0.31750332578945045,0.05786036484592755
dim_11,ATBG11I,1,0.14195484813074613,0.27056373164506897
dim_11,ATBG11I,2,-0.14527236708639,0.20498150138587856
dim_11,ATBG11I,3,-0.14625048525820503,0.2330645139901713
dim_11,ATBG11I,4,-0.28537248857432906,
dim_11,ACBG11I,1,0.46915410179123257,0.17539928956103643
dim_11,ACBG11I,2,-0.043778119807497726,0.274551793058883
dim_11,ACBG11I,3,-0.03774945710381599,0.24179811589631417
dim_11,ACBG11I,4,-0.09693912732087667,0.14868485512992935
dim_11,ACBG14H,1,0.14878211978977535,0.2602942190182525
dim_11,ACBG14H,2,-0.11792794246679658,0.2851988223719061
dim_11,ACBG14H,3,0.0016375133799290042,0.24461656806533263
dim_11,ACBG14H,4,-0.29003736262301155,0.14696193718932307
dim_11,ATBG11E,1,0.1086784442186692,0.2699849629415793
dim_11,ATBG11E,2,-0.18241131378982806,0.189442983568914
dim_11,ATBG11E,3,-0.23283932588650413,0.1380961011589798
dim_11,ATBR09D,1,0.15891189637280845,0.23204242745740378
dim_11,ATBR09D,2,-0.05786337752413621,0.27008019782188447
dim_11,ATBR09D,3,-0.2571655645742793,0.15085698491302724
dim_11,ATBR09D,4,-0.3190557288393124,0.09439439245188198
dim_11,ATBG11H,1,0.08953558286481653,0.2607945287372564
dim_11,ATBG11H,2,-0.17332723164719496,0.20791434418575816
dim_11,ATBG11H,3,-0.2963436077343261,0.16257901620352289
dim_11,ATBG11H,4,-0.28537248857432906,
dim_11,ATBG12A,1,0.1222356312027033,0.25528082076110886
dim_11,ATBG12A,2,-0.08266508133866787,0.2469628779082223
dim_11,ATBG12A,3,-0.2301356143282003,0.20037417806567054
dim_11,ATBG12E,1,0.14451778997923573,0.253266012821508
dim_11,ATBG12E,2,-0.08202491356034575,0.2418074668655609
dim_11,ATBG12E,3,-0.18147410782920995,0.23085560426515767
dim_11,ATBG12E,4,-0.15432927569924215,0.06255650154296413
dim_11,ATBR10H,1,0.21716252648762946,0.1940934089323934
dim_11,ATBR10H,2,0.04898246870172361,0.27483691318409803
dim_11,ATBR10H,3,-0.1431858697256552,0.26467450521908653
dim_11,ATBR10H,4,-0.14404037712476744,0.1443447526296638
dim_11,ACBG11D,1,0.3809777397663499,0.26403599651412146
dim_11,ACBG11D,2,0.019882693369012733,0.2608678826256818
dim_11,ACBG11D,3,-0.10133238418945416,0.22223031675025823
dim_11,ATBR09F,1,0.18938002994837289,0.20953984349313726
dim_11,ATBR09F,2,-0.006437767532730194,0.2832856514736078
dim_11,ATBR09F,3,-0.1410530027294124,0.24355858197848987
dim_11,ATBR09F,4,-0.2123612461377577,0.12897478412850677
dim_11,ACBG12C,1,0.13479979794014776,0.26703840829501385
dim_11,ACBG12C,2,-0.1150405700407596,0.23532573462272122
dim_11,ACBG12C,3,-0.12285630459925245,0.1385992918262798
dim_11,ACBG12C,4,-0.3732258443899705,0.14231100726874357
dim_11,ATBR15,1,-0.24865286276146317,0.260511077623927
dim_11,ATBR15,2,-0.12330529672178717,0.24332684284822464
dim_11,ATBR15,3,0.1253528378699109,0.2704909432014773
