Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,7,8,
17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444
3.0,42.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.84
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,42.0,0.0,1.0,2.0,0.0,0.0,0.9130434782608695
0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0,0.8
0.0,1.0,0.0,4.0,1.0,4.0,41.0,0.0,1.0,0.7884615384615384
0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.8571428571428571
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.9615384615384616
0.85,0.875,1.0,0.875,0.9473684210526315,0.8,0.803921568627451,1.0,0.9615384615384616,0.8722627737226277
