ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG06A,ACBG06B,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBR04,ATBR05,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG04,ASBG05A,ASBG05B,ASBG05C,ASBG05D,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG09A,ASBG09B,ASBG09C,ASBG09D,ASBG09E,ASBG09F,ASBG09G,ASBG09H,ASBG10A,ASBG10B,ASBG10C,ASBG10D,ASBG10E,ASBG10F,ASBG11A,ASBG11B,ASBG11C,ASBG11D,ASBG11E,ASBG11F,ASBG11G,ASBG11H,ASBG11I,ASBG11J,ASBR01A,ASBR01B,ASBR01C,ASBR01D,ASBR01E,ASBR01F,ASBR01G,ASBR01H,ASBR01I,ASBR02A,ASBR02B,ASBR02C,ASBR02D,ASBR02E,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASBR06A,ASBR06B,ASBR07A,ASBR07B,ASBR07C,ASBR07D,ASBR07E,ASBR07F,ASBR07G,ASBR07H,ASBR08A,ASBR08B,ASBR08C,ASBR08D,ASBR08E,ASBR08F,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASDRLOWP,ASBH01A,ASBH01B,ASBH01C,ASBH01D,ASBH01E,ASBH01F,ASBH01G,ASBH01H,ASBH01I,ASBH01J,ASBH01K,ASBH01L,ASBH01M,ASBH01N,ASBH01O,ASBH01P,ASBH01Q,ASBH01R,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH03F,ASBH04,ASBH05AA,ASBH05AB,ASBH05B,ASBH06,ASBH07A,ASBH07B,ASBH07C,ASBH07D,ASBH07E,ASBH07F,ASBH07G,ASBH08A,ASBH08B,ASBH08C,ASBH08D,ASBH08E,ASBH08F,ASBH09,ASBH10,ASBH11A,ASBH11B,ASBH11C,ASBH11D,ASBH11E,ASBH11F,ASBH11G,ASBH11H,ASBH12,ASBH13,ASBH14A,ASBH14B,ASBH14C,ASBH15A,ASBH15B,ASBH16,ASBH17A,ASBH17B,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH18FA,ASBH18FB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG03A,ACBG03B,ACBG04,ACBG05A,ACBG05B,ACBG06C,ACBG07A,ACBG07B,ACBG07C,ACBG08,ACBG10AA,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AE,ACBG10AF,ACBG10AG,ACBG10AH,ACBG10AI,ACBG10AJ,ACBG10BA,ACBG10BB,ACBG10BC,ACBG10BD,ACBG11A,ACBG11B,ACBG11C,ACBG11D,ACBG11E,ACBG11F,ACBG11G,ACBG11H,ACBG11I,ACBG11J,ACBG11K,ACBG11L,ACBG12A,ACBG12B,ACBG12C,ACBG12D,ACBG12E,ACBG12F,ACBG12G,ACBG12H,ACBG12I,ACBG12J,ACBG13,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG04,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10J,ATBG10K,ATBG10L,ATBG11A,ATBG11B,ATBG11C,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11H,ATBG11I,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBR03A,ATBR03B,ATBR03C,ATBR03D,ATBR03E,ATBR03F,ATBR03G,ATBR03H,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
10.42,606.734006,579.037538,601.993356,630.0420399999999,612.745424,10.12086,8.64972,7.90321,10.66007,8.31437,7.865749999999999,7.19857,11.28642,13.04932,10.26741,13.20593,11.47732,12.12899,10.83953,9.8488,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,4,1,2,1,1,1,1,2,1,2,1,1,5,2,3,1,1,1,2,1,2,1,1,2,3,4,2,1,1,1,1,1,2,1,2,4,3,4,4,2,4,3,1,1,1,1,1,1,1,1,3,1,1,2,1,3,3,2,3,1,3,3,3,3,1,3,4,2,1,1,3,3,3,2,2,1,2,2,2,1,2,3,3,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,5,3,1,1,1,2,1,1,2,1,1,1,1,2,1,4,2,3,2,2,3,2,1,1,1,5,4,1,1,1,8,8,6,10,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,1,1,1,2,4,1,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
10.42,518.903994,506.704884,547.315564,516.5840880000001,540.611226,8.55821,10.82106,8.93357,10.66007,9.89746,9.38515,7.84162,10.892629999999999,10.72985,8.05673,12.25036,9.88273,8.72843,7.35062,7.40977,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,3,3,3,1,1,2,1,2,1,2,2,1,1,2,4,1,1,1,3,3,3,3,1,1,4,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,1,1,2,1,1,1,1,1,2,3,2,3,3,4,2,2,4,1,2,2,3,1,2,3,2,1,1,1,2,1,3,2,1,1,2,1,2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,3,2,2,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,3,2,3,1,1,1,7,4,5,10,12,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,3,2,3,3,1,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
10.17,548.3279319999999,572.648294,582.075742,555.881454,563.427634,8.34208,8.64972,12.567489999999998,8.05152,9.42264,8.40525,8.72693,9.60729,9.99175,7.61837,9.62426,8.57506,9.422330000000002,10.10603,7.8339,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,3,1,1,1,2,2,1,2,2,2,2,1,5,3,3,2,3,2,3,1,3,3,2,2,4,2,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,2,2,2,1,2,3,3,2,1,2,2,2,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,3,3,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,4,3,2,3,3,2,2,2,3,2,1,1,1,2,1,1,3,2,2,3,2,3,2,2,3,2,2,1,1,1,5,5,5,10,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,1,3,4,2,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
10.08,611.0974979999999,624.6212660000001,639.1869119999999,604.008824,618.111488,10.30815,6.93638,9.03816,8.05152,10.21804,8.7748,13.45388,8.18238,7.22491,8.05673,9.21443,8.57506,9.0796,9.52493,9.34571,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,4,3,2,2,2,1,1,2,1,1,2,2,5,1,3,1,1,1,2,2,4,1,1,1,1,4,1,4,1,4,1,1,4,4,1,4,4,4,4,4,4,1,1,1,4,4,4,1,1,1,4,4,1,4,1,2,2,4,1,4,1,4,1,1,4,4,4,1,1,4,1,1,4,4,4,4,2,3,2,2,2,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,3,3,3,2,2,3,3,3,3,2,1,3,1,2,1,1,2,3,2,2,3,3,1,1,2,1,1,1,1,1,3,3,5,4,7,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,4,2,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
10.000000000000002,408.25497199999995,397.12102,430.8633740000001,404.114206,407.14184599999993,8.34208,7.87932,12.567489999999998,7.25705,9.89746,5.35292,5.95198,10.22238,10.34719,10.77067,10.04897,10.3576,10.801940000000002,8.46496,8.67085,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,2,1,2,2,1,1,1,2,1,1,2,1,5,4,4,1,1,1,3,3,3,3,2,1,4,4,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,1,1,1,3,3,2,4,1,4,4,4,4,1,4,4,4,1,1,4,4,4,4,4,4,4,1,1,1,4,3,2,1,2,2,3,3,3,2,1,1,1,2,1,1,2,3,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,4,2,1,2,2,3,1,1,2,1,1,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,3,1,1,1,5,4,6,12,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,4,2,2,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
10.000000000000002,572.5677579999999,580.009066,556.147588,575.129192,566.558984,10.12086,7.55475,9.03816,8.83577,8.31437,10.83607,10.90567,9.29058,9.3078,8.48851,8.81024,8.57506,7.97118,5.695990000000001,8.88647,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,4,1,2,1,2,1,2,2,1,1,2,1,5,1,3,1,1,1,2,2,2,3,1,1,1,3,2,2,3,2,1,1,4,3,4,3,4,4,4,4,3,2,3,3,2,1,1,1,1,1,2,3,1,1,1,3,2,2,3,1,3,3,1,1,4,1,1,1,1,1,3,1,4,4,4,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,5,2,3,3,3,3,3,3,4,3,2,3,3,3,2,4,1,2,3,2,3,2,2,2,2,2,2,1,1,1,5,6,5,4,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,4,2,2,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
9.92,672.210684,653.690518,679.5073439999999,701.5052679999999,717.381664,8.77882,7.87932,9.528710000000002,7.8348,8.6804,8.7748,9.399640000000002,11.74392,13.04932,7.61837,8.81024,8.14839,10.801940000000002,8.46496,8.88647,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,5,2,3,1,1,1,1,1,2,2,1,1,5,4,4,1,1,2,3,1,1,2,3,3,3,2,2,2,3,2,2,2,4,3,4,4,3,4,4,4,4,2,2,2,2,2,3,2,2,2,3,3,1,1,1,2,1,3,1,4,1,1,3,2,4,3,2,2,3,4,2,2,2,3,4,4,2,2,1,2,2,2,2,3,2,1,2,3,1,2,3,3,2,3,2,2,2,2,1,2,2,2,3,1,1,1,1,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,1,2,3,2,2,2,2,2,1,5,4,1,1,1,8,6,5,10,12,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2,3,1,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
9.92,485.6863280000001,473.057614,473.7491600000001,500.704604,478.916644,7.90958,10.82106,8.49098,7.63232,9.60657,10.6419,7.532170000000001,9.29058,9.3078,9.35253,8.81024,9.00134,9.761769999999999,12.13203,8.88647,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,3,1,2,2,2,1,2,2,2,1,1,1,5,1,3,2,1,4,4,4,2,2,1,1,4,1,2,1,1,1,1,4,4,1,1,4,4,4,4,4,1,2,2,1,4,4,3,2,1,1,2,4,1,4,1,2,1,1,1,1,1,2,1,1,4,4,1,1,1,1,4,4,1,2,4,4,3,1,2,2,2,1,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,3,3,2,2,3,2,2,2,3,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,4,5,5,2,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,3,2,2,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
9.83,634.4690280000001,604.853252,655.637366,639.835116,640.286386,7.453760000000001,8.23773,12.567489999999998,8.54449,11.50099,9.17072,8.72693,10.892629999999999,10.34719,7.16522,4.5676,5.980110000000001,10.801940000000002,7.35062,8.45942,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,5,2,3,2,1,1,1,2,2,2,2,1,5,3,4,1,2,4,4,2,4,2,2,2,4,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2,2,2,1,4,4,3,3,3,2,3,4,1,1,1,2,4,2,3,2,2,1,2,2,2,2,2,3,3,3,3,2,1,2,2,2,2,3,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1,2,2,2,2,2,2,1,4,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,4,2,3,3,2,2,2,2,2,1,1,1,9,6,5,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,4,1,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
9.83,583.232976,580.5750919999999,589.7868500000001,567.7868759999999,619.429254,10.50352,10.82106,12.567489999999998,11.54818,12.18062,10.45984,8.1368,12.39198,11.59978,6.169950000000001,4.5676,8.57506,10.10135,7.35062,13.71967,200.0,232.0,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,280.0,200.0,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,4,1,4,2,1,1,1,2,1,1,1,2,5,3,4,3,3,1,2,1,1,2,1,1,3,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,1,1,3,4,3,4,4,1,1,1,3,2,1,2,2,1,3,2,2,1,1,1,2,2,2,2,2,3,1,1,1,1,1,1,3,3,2,1,2,1,2,3,2,1,3,2,2,3,2,2,2,3,1,1,3,1,1,2,2,2,2,2,2,1,2,1,3,3,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,4,2,2,3,2,2,2,2,2,4,1,1,1,7,6,5,10,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,3,2,2,2,2,3,1,1,2,3,1,1,1,5,1,2,1,1,2,1,3,3,3,3,3,2,3,4,2,1,2,3,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,4,4,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,5,6,1,2,1,2,2,2,3,3,3,3,2,2,3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,3,4,3,3,3,3,3,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,2,1,2,1,2,2,2,3,2,3,3,3,3,3,4,3,3,1,4,2,3,2,2,1,3,2,2,2,3,1,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,2,4,3,3,1,3,4,1,1,1,3,4,1,1,1,1,1,1,1,2,3,3,2,3,2
