variable_name,shap_importance
ATDGLIHY,0.51991445
ATDGRIHY,0.44697648
ASRIBM,0.427196
ACDGTIHY,0.40504986
ATBR01A,0.33912617
ATBR02A,0.161196
ATDGTJS,0.12067527
ATBG12D,0.118080005
ACBG06A,0.10120817
ATBG01,0.080934316
ACBG09,0.07861263
ATBR12BB,0.07443814
ASBH01F,0.07309694
ATBR17B,0.0686839
ASDHSES,0.065804094
ASBH13,0.05883145
ACBG13,0.057462282
ASBH01A,0.05522043
ASBH16,0.051281735
ASDHELN,0.050842796
ASBR07A,0.04560058
ASBH01J,0.042939916
ASBH07A,0.04222449
ASBH01C,0.042004436
ACBG15,0.04093896
ASBR02E,0.03937921
ATDGSOS,0.038119182
ASBH08D,0.036981024
ATBG05AD,0.035303634
ASBR08F,0.035298884
ACBG10AF,0.031792354
ASBH11B,0.031012181
ASBH01L,0.030252116
ATBG12F,0.030185604
ASBH01M,0.030132905
ASDHOCCP,0.029965147
ASBG09D,0.02994799
ASDGSCR,0.027237942
ACBG08,0.027153192
ATBR11A,0.027037662
ASBH01D,0.026620157
ASBR08D,0.026595196
ASBH12,0.026114378
ASBH01Q,0.02595544
ASBR01B,0.02588168
ASBG04,0.024542365
ASBR06B,0.02435897
ATBG12C,0.024174944
ASBH07C,0.023350786
ASBR01F,0.023170067
ASBR08A,0.023125319
ASBH17B,0.021274487
ASBH15B,0.021226943
ASBH11F,0.021150392
ASBR02A,0.020434657
ASBG09E,0.020209707
ACBG14C,0.020083811
ASBH01H,0.02002114
ATBR06B,0.019968204
ACBG12E,0.019782284
ASBR07G,0.018966055
ASBH01P,0.018917995
ASBR07B,0.018876648
ASBH01B,0.01882377
ASBR08B,0.018749613
ASBR07C,0.018598001
ASBH11H,0.018021299
ACBG11E,0.017914502
ASBH01G,0.017760098
ATBR03D,0.017329948
ACBG11H,0.017191311
ASBH08B,0.0170549
ASBG08A,0.017030556
ASDHEDUP,0.016948756
ASDHELA,0.016357398
ASBH07D,0.016301116
ACBG14H,0.01579256
ASDAGE,0.015705574
ASDHENA,0.015480823
ASBH11C,0.015413279
ATBG11A,0.015302904
ASBR03A,0.014842758
ASBH01I,0.014780145
ASBH07G,0.014593142
ATBR13C,0.014326368
ASBG09C,0.013854617
ATBR14,0.013805746
ACBG14M,0.013741508
ATBR10E,0.013645993
ATBG05BJ,0.012716274
ATBG05AA,0.0126644885
ASBR08C,0.012438585
ASBR06A,0.012401276
ATBR12BA,0.012179203
ASBR08E,0.01217778
ASBR07F,0.01205048
ASBR01D,0.011929268
ASBR03B,0.01154293
ASBH01O,0.01146979
ASDHELT,0.011445262
ATBR10F,0.011216914
ATBR13D,0.010714487
ITSEX,0.010264064
ACBG10AJ,0.00988402
ASBR07D,0.0097071845
ASBG09F,0.009565732
ATBR03E,0.009266017
ASBH11G,0.009093059
ASDGHRL,0.008795929
ASBR03C,0.008539479
ASBH07E,0.008499756
ACBG10BC,0.008285532
ASBH01E,0.00821225
ATBR07BC,0.007350682
ATBG07BD,0.007110311
ATBG09B,0.006886267
