component,var_name,corr_coeff
dim_01,ASRREA,0.9761856103725894
dim_01,ASRIIE,0.9743785322983428
dim_01,ASRRSI,0.9656882369562979
dim_01,ASRINF,0.9650816251434758
dim_01,ASRLIT,0.965081367807233
dim_02,ASBHELN,0.9695923103003175
dim_02,ASBHELA,0.9072693041574861
dim_02,ASBHENA,0.8893651115865243
dim_03,ATDGLIHY,0.7637732906890745
dim_03,ATBR04,0.7585616482245429
dim_03,ACBGDAS,0.5851716370785403
dim_04,ATBR02B,0.8313807284915424
dim_04,ATBR02A,0.8168418524974771
dim_04,ATBGSLI,-0.5774108478674607
dim_05,ASBGERL,0.8501492636223681
dim_05,ASBGSLR,0.7836444805183074
dim_05,ASBGSSB,0.7288121657963739
dim_05,ASBGSEC,0.5032492809395178
dim_06,ACDGTIHY,0.9739462079783173
dim_06,ACBG06B,0.9611050725307004
dim_07,ASBHSES,0.932117384247177
dim_07,ASBGHRL,0.9266810592754735
dim_08,ATBR01A,0.9814806254493572
dim_08,ATBR01B,0.9814806254493572
dim_09,ATBGTJS,0.7381060977138943
dim_09,ATBGSOS,0.7304396025831983
dim_09,ATBGEAS,0.677837379372196
dim_10,ATBR05,0.7458787664278407
dim_10,ATDGRIHY,0.7358472396872655
dim_11,ATBG01,0.7800094931079237
dim_12,ASBGSB,0.8171795875110706
dim_12,ASBGDRL,0.705217608369766
