Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,Predicted values,recall
0,1,2,3,4,5,6,7,8,
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
