component,var_name,var_value,component_mean,component_std
dim_13,ATBR10J,1,0.3283163839645178,0.25449606024939586
dim_13,ATBR10J,2,0.04134968243027487,0.19513780885685103
dim_13,ATBR10J,3,-0.1636180175249124,0.20067526105231573
dim_13,ATBR10J,4,-0.24557462003685804,0.11464850951806586
dim_13,ATBR10F,1,0.10179831256495425,0.24295001682926703
dim_13,ATBR10F,2,0.13074479699413066,0.21166345624655086
dim_13,ATBR10F,3,-0.19988856312601244,0.17870306108577522
dim_13,ATBR10F,4,-0.14550936869229186,0.054759062175309216
dim_13,ATBR09E,1,0.2235241087058949,0.21736903950892658
dim_13,ATBR09E,2,-0.025178908294397374,0.21671136213886288
dim_13,ATBR09E,3,-0.11927799446728168,0.20534723040957437
dim_13,ATBR09E,4,-0.2577942620939832,0.04874914751688754
dim_13,ATBR10I,1,0.21839867016945988,0.2675680807544318
dim_13,ATBR10I,2,0.034318980524431435,0.2106561885523547
dim_13,ATBR10I,3,-0.22611830239956615,0.13768810278423996
dim_13,ATBR10I,4,-0.19486244937278935,0.11512083208037127
dim_13,ATBR11A,1,0.19340143171732094,0.259379784248617
dim_13,ATBR11A,2,0.11701461232566332,0.22298643522200526
dim_13,ATBR11A,3,-0.15670277008132455,0.1758952409968376
dim_13,ATBR11A,4,-0.37880969578813767,0.07083696155157441
dim_13,ATBR10C,1,0.1601014473258364,0.23314017906670648
dim_13,ATBR10C,2,-0.03307905680552001,0.20464944450195413
dim_13,ATBR10C,3,-0.236334678572212,0.16631659900474632
dim_13,ATBR10C,4,-0.32485123888429174,0.020075075186857964
dim_13,ATBR08G,1,0.2536215228587147,0.25909073625019663
dim_13,ATBR08G,2,0.0031966713221740946,0.1806777399309626
dim_13,ATBR08G,3,-0.16988950390373891,0.22841341535272916
dim_13,ATBR08G,4,-0.17228531631120692,0.019985557763603487
dim_13,ATBR09G,1,0.2585223505978039,0.23769011663492493
dim_13,ATBR09G,2,0.03944139773582903,0.2131717135472634
dim_13,ATBR09G,3,-0.10997187912659323,0.20985688586257426
dim_13,ATBR09G,4,-0.25259492137230827,0.053838225187003035
dim_13,ATBR09F,1,0.24433972872619522,0.22693121144901093
dim_13,ATBR09F,2,-0.012677988980702725,0.20754057468825088
dim_13,ATBR09F,3,-0.1071804744312983,0.21458872175555055
dim_13,ATBR09F,4,-0.1721964138602631,0.14326459370079614
dim_13,ATBR10G,1,0.1457628879178729,0.196044558941229
dim_13,ATBR10G,2,0.059196935867346805,0.24430941838108478
dim_13,ATBR10G,3,-0.21892561513553427,0.17013119910230126
dim_13,ATBR10G,4,-0.19486244937278935,0.11512083208037127
dim_13,ATDGEAS,1,0.37655361686032923,0.00685515378151987
dim_13,ATDGEAS,2,0.14886596099283134,0.23838439396696617
dim_13,ATDGEAS,3,-0.1367855011765459,0.18532539152845154
dim_13,ATBR09C,1,0.12990412230568438,0.196723995525869
dim_13,ATBR09C,2,0.123477914191121,0.25693601789013226
dim_13,ATBR09C,3,-0.1532008033346837,0.1976851447341992
dim_13,ATBR09C,4,-0.23775651468310338,0.0598648923659375
dim_13,ATBR12EB,1,0.6831770756239441,0.18456850260039304
dim_13,ATBR12EB,2,0.19445030222054213,0.21591528059120124
dim_13,ATBR12EB,3,-0.05236493708359146,0.20466000361513687
dim_13,ATBR12EB,4,-0.06633631007832179,0.21622337518347423
dim_13,ATBG10H,1,0.24344246246368265,0.3582572498622983
dim_13,ATBG10H,2,0.08612384668457937,0.18269445152394895
dim_13,ATBG10H,3,-0.144289548298314,0.1978408359571521
dim_13,ATBG10H,4,-0.1709643838571667,0.21361772500223883
dim_13,ATBG10F,1,0.48670844928145957,0.2158273981826078
dim_13,ATBG10F,2,0.05624585382947523,0.21068822345581195
dim_13,ATBG10F,3,-0.04164727797619735,0.22740288595172953
dim_13,ATBG10F,4,-0.24394223337226612,0.17994598160879738
dim_13,ATBG10F,5,0.2303066248819001,0.019620704611110346
dim_13,ATBR07BC,1,0.2549943153815317,0.24288084149184977
dim_13,ATBR07BC,2,0.060529753490307266,0.20540503180655678
dim_13,ATBR07BC,3,-0.09151939725971822,0.2159124596241528
dim_13,ATBR07BC,4,-0.21598187648838327,0.22158541384799516
dim_13,ATBR07AB,1,0.06347071753643688,0.08216847293270156
dim_13,ATBR07AB,2,0.043616389949416884,0.16038560751397157
dim_13,ATBR07AB,3,0.10606655925377233,0.2585466266252619
dim_13,ATBR07AB,4,-0.19936855436310832,0.18539424862960882
dim_13,ATBR10B,1,0.1514973392657887,0.18571236171204264
dim_13,ATBR10B,2,-0.0020665598469464066,0.24547783120705316
dim_13,ATBR10B,3,-0.31248851563018054,0.10777761962755461
dim_13,ATBG12E,1,0.15899799748421903,0.24367123401830665
dim_13,ATBG12E,2,-0.015680552074977986,0.22354287071430504
dim_13,ATBG12E,3,-0.21743239287239782,0.16146363649682052
dim_13,ATBG12E,4,-0.24506002115491124,0.07684206481154822
dim_13,ATBR10L,1,0.07283236368394003,0.10892677385916388
dim_13,ATBR10L,2,0.27675662650196037,0.19186209133235074
dim_13,ATBR10L,3,-0.06984697548667011,0.2584552365670233
dim_13,ATBR10L,4,-0.06413092210186758,0.19421453459979465
dim_13,ATBR11C,1,0.18438751848094337,0.227380564866881
dim_13,ATBR11C,2,0.08444701588874895,0.22990845680962047
dim_13,ATBR11C,3,-0.14625122306167418,0.21612051214624844
dim_13,ATBR11C,4,-0.06975940787867363,0.043223843300566576
dim_13,ACBG11K,1,0.2811923262256539,0.20014703200860776
dim_13,ACBG11K,2,0.05277339554679102,0.23693862997264106
dim_13,ACBG11K,3,-0.1625231761483204,0.20263070265945707
dim_13,ACBG11K,4,0.179945736372121,0.019514861848428617
dim_13,ATBR07BA,1,0.20880775938948878,0.2504928897288713
dim_13,ATBR07BA,2,0.043823768466609896,0.2088177562479098
dim_13,ATBR07BA,3,-0.12006395173177309,0.23340013793813408
dim_13,ATBR07BA,4,-0.0720734928056866,0.1351223241279553
dim_13,ATBR09D,1,0.14705907117940856,0.25253249905269143
dim_13,ATBR09D,2,0.02112675790816504,0.21827997005905875
dim_13,ATBR09D,3,-0.1840137378735248,0.18709803656918494
dim_13,ATBG12B,1,0.1259576180859193,0.2288208239351937
dim_13,ATBG12B,2,-0.03208064074163285,0.23949844128679443
dim_13,ATBG12B,3,-0.19737502515093505,0.17771373559900852
dim_13,ATBR08F,1,0.08911677804711712,0.24976980782351638
dim_13,ATBR08F,2,-0.01606969848837679,0.20252000634311432
dim_13,ATBR08F,3,-0.32259087306490747,0.15766975877607348
dim_13,ATBR08F,4,-0.058805653273716285,0.022086033538854955
dim_13,ATBR10A,1,0.08279893628191745,0.24962046991487286
dim_13,ATBR10A,2,-0.038282718879721046,0.19881190566420429
dim_13,ATBR10A,3,-0.3336134599472798,0.10290864764880726
dim_13,ATBR09A,1,0.19630739897401356,0.1985530339993513
dim_13,ATBR09A,2,0.10192425681046498,0.16896054461484578
dim_13,ATBR09A,3,-0.10421401337242733,0.24898423200700434
dim_13,ATBR10K,1,0.07283236368394003,0.10892677385916388
dim_13,ATBR10K,2,0.21446729727658803,0.21084235933565518
dim_13,ATBR10K,3,-0.061399102396753995,0.26419115494186024
dim_13,ATBR10K,4,-0.09052994937399962,0.19672537270809765
dim_13,ACDGEAS,1,0.2654776822098673,0.27243403652856485
dim_13,ACDGEAS,2,-0.004528374581989871,0.2118689437037453
dim_13,ACDGEAS,3,-0.1667929714273898,0.22122279084543645
dim_13,ATDGTJS,1,0.11381835123939123,0.24824401769918025
dim_13,ATDGTJS,2,0.039101906312232766,0.22865853227974134
dim_13,ATDGTJS,3,-0.2002361299187331,0.17809759798702196
dim_13,ACBG11D,1,0.23689243823412348,0.22108321618795368
dim_13,ACBG11D,2,-0.0590099401755624,0.23044422943572151
dim_13,ACBG11D,3,-0.08886235070600462,0.19873515651718862
dim_13,ATBR07BB,2,0.21548393512071642,0.2693413069120751
dim_13,ATBR07BB,3,0.011428146899059351,0.23227269828246017
dim_13,ATBR07BB,4,-0.13506011761110948,0.18166784525454996
dim_13,ACBG11I,1,0.24846811869620913,0.26334739097983784
dim_13,ACBG11I,2,-0.015587665966480655,0.20966462155083498
dim_13,ACBG11I,3,-0.11026972388143835,0.2352793633365749
dim_13,ACBG11I,4,-0.31300055543476896,0.026123167776855246
dim_13,ATBG10E,1,0.2986878093968156,0.26486137109227664
dim_13,ATBG10E,2,-0.10348038497221836,0.20026937202017872
dim_13,ATBG10E,3,-0.0031484456635822488,0.2164292559279126
dim_13,ATBG10E,4,-0.019800033127239984,0.21888473020035434
dim_13,ATBG10E,5,0.02735643135492991,0.2841244370056902
dim_13,ATBR11B,1,0.13319179936221293,0.26911055852852034
dim_13,ATBR11B,2,-0.012754083806178328,0.20184060301693196
dim_13,ATBR11B,3,-0.23923277472322727,0.19691348820877747
dim_13,ATBR11B,4,-0.09878377886428756,0.02220287838126502
dim_13,ATBR08E,1,0.12054997488537134,0.24710045284447912
dim_13,ATBR08E,2,-0.009249822271998788,0.22780291492941981
dim_13,ATBR08E,3,-0.32672823660871303,0.17587113851108702
dim_13,ATBR08E,4,-0.17869414575686637,0.08519004221783434
dim_13,ATBG12A,1,0.1056238201667178,0.249381865073618
dim_13,ATBG12A,2,0.014661876477062645,0.23370586535047735
dim_13,ATBG12A,3,-0.2388030586133457,0.1395519150632071
dim_13,ATBG10J,2,0.11464626300446273,0.23401615092586564
dim_13,ATBG10J,3,-0.14143997910808506,0.23378395728901172
dim_13,ATBG10J,4,0.0025574883542469856,0.15378627088037863
dim_13,ATBG10J,5,0.08506105198866361,0.15286081973915747
dim_13,ATBR11E,1,0.08114630787006617,0.022903735104189242
dim_13,ATBR11E,2,0.24972425790379552,0.3496027082780405
dim_13,ATBR11E,3,0.035345352079444996,0.20740719018136447
dim_13,ATBR11E,4,-0.14523671631675622,0.20694278897853507
dim_13,ATBR12EA,1,0.5608626761452871,0.22119889601406936
dim_13,ATBR12EA,2,0.20054461485921155,0.3472216116022929
dim_13,ATBR12EA,3,0.04109009492515938,0.2242121225184558
dim_13,ATBR12EA,4,-0.053386485173154176,0.21923072281203393
dim_13,ATBG10I,1,0.2843656381408439,0.45232619703415056
dim_13,ATBG10I,2,0.10036879948290683,0.18786679024529634
dim_13,ATBG10I,3,-0.0938518257212221,0.24084988026561488
dim_13,ATBG10I,4,-0.14315849552888404,0.18630689970768113
dim_13,ATBG10I,5,0.2303066248819001,0.019620704611110346
dim_13,ATBR12C,1,0.12074403496850604,0.3630795704176076
dim_13,ATBR12C,2,0.19095618557907246,0.21258589258140528
dim_13,ATBR12C,3,-0.16038043010421657,0.1485123979767032
