变量名,编码,澳门样本频数（f）,台湾样本频数（f）,香港样本频数（f）
ATBG08A,2,962,458,1849
ACBG14N,4,1554,469,1564
ATBG09D,1,1933,533,432
ATBR08A,3,185,243,126
ATBR11B,4,15,23,22
ATBR10G,4,63,39,23
ATBR10L,1,102,50,59
ASBH04,4,8,10,57
ATBR10J,2,1634,800,1490
ATBR07BD,2,735,398,533
ATBG05AC,1,2219,331,2758
ATBG05BA,1,63,14,136
ACBG07C,1,4047,1425,3120
ATBR07AC,4,2990,886,2176
ACBG18A,1,3584,902,2798
ACBG21F,1,3412,947,3134
ASBR03B,3,606,216,643
ACDGDAS,1,3442,1166,3034
ASBG07B,3,1831,600,1459
ATBR11C,1,1517,215,444
ASDGSEC,1,873,274,895
ASBG06,5,3253,1236,2888
ACBG13,1,1642,96,204
ATBR06E,2,1766,540,700
ATBR09C,3,1059,598,734
ATBR09D,3,514,399,695
ATBR13B,4,1671,791,1056
ACBG14H,3,1836,767,1261
ASBG05B,1,3289,1156,2357
ATBR18B,1,3914,1084,2723
ATBR19,3,140,178,342
ATBR07BA,3,1313,582,1174
ATBR07BB,3,1666,661,1131
ACBG17,4,896,248,98
ACBG18C,1,393,248,55
ATBR18C,3,28,82,120
ASBH16,3,53,32,80
ACBG07B,1,434,46,193
ATBG02,1,3769,1223,2798
ATBG08B,3,85,41,29
ATBR13D,4,73,142,754
ATBR09H,1,1281,350,227
ACBG14M,4,1719,535,1410
ATBR12DC,2,900,458,1096
ASBG05E,1,2911,658,1176
ASBH18BB,1,18,805,592
ASDGHRL,1,626,319,848
ATBR10F,2,1873,636,1618
ACBG05A,4,14,132,61
ATBG05AA,2,962,219,473
ASDHPCS,3,78,60,66
ACBG14F,3,295,276,328
ASBH21C,1,1833,11,1741
ATBG07AF,2,515,829,1046
ATBG07AD,1,2758,747,1848
ATBR09I,1,756,129,365
ACBG14E,1,2409,648,2118
ATDGSLI,3,361,46,86
ATBR14,1,1012,869,676
ASBH14C,2,46,9,25
ATBR12A,1,2003,769,1612
ASDHELA,3,179,58,64
ATBR08H,3,1093,556,1433
ATBG07BD,2,1658,713,1632
ATBG09B,1,171,0,23
ATBR18A,2,737,438,715
ATBR08D,3,130,258,77
ATBG09A,2,2122,889,1879
ATBG07AG,2,1008,732,1617
ATBR07AB,2,1076,255,282
ATBR10K,4,2233,543,1453
ACBG14B,2,422,0,218
ATBR12C,3,380,189,704
ATBR10B,3,192,176,68
ACBG14J,1,445,22,114
ATBR07AA,1,1733,114,239
ATBR11E,3,2433,782,1770
ATBG08A,1,3131,987,1360
ATBR11B,3,587,225,534
ATBR08E,3,155,115,92
ASDGDRL,1,453,210,398
ATBR10G,3,550,366,423
ACBG14C,2,222,204,11
ACBG14D,1,3887,1200,3176
ATBR10J,1,875,172,330
ATBR07BD,1,278,161,163
ATBG05BK,3,342,124,2
ACBG07A,2,48,0,0
ASBG07A,4,790,347,428
ATBG05BD,1,88,33,154
ATBG08D,3,42,0,158
ATBR12BD,2,3700,0,2568
ATBG07AE,2,1825,671,2227
ASBR03B,2,1326,506,1028
ATBG05BC,3,2741,797,2111
ATBR09E,1,1886,427,1067
ASBG07B,2,504,122,568
ATBR11A,2,1941,688,1343
ATBG03,3,1491,152,932
ASBG06,4,571,119,233
ATBR06E,1,589,112,344
ATBR09A,3,1256,819,2500
ATBR09C,2,1384,403,1445
ATBR10H,4,544,206,93
ATBR16,4,30,24,80
ATBR19,2,719,279,572
ASDGSB,3,327,80,75
ASBH18EA,2,4107,1350,3199
ACBG17,3,1978,1173,2159
ACBG20,3,22,152,0
ACDGSBC,3,1123,70,1327
