Variable,Mean_澳门,Std_澳门,Mean_台湾,Std_台湾,Mean_香港,Std_香港
ACBG09,147.51375030421028,86.28730579556647,86.57370242214533,56.168445962202775,149.0,91.16411511821295
ACBG15,13.643222195181309,10.811937618563377,10.694809688581316,5.018139607421624,11.362418198815831,7.007243928050448
ACBG16,10.581650036505232,8.668062685162845,4.034602076124568,2.21056859235791,7.475225927080087,5.213588866792819
ACBGDAS,11.090481061085423,1.7497995323974063,11.10765743252595,1.4671028290419679,12.105931470863197,1.2265807123026127
ACBGEAS,10.175140481869066,2.155272558705052,10.75101074048443,2.0514586885048502,9.840147609847305,1.915692011283342
ACBGRRS,7.208355461182769,1.508946691599107,8.51295328719723,1.5283223029512198,7.500706098473046,1.3740133823920955
ACDGTIHY,915.3363757532246,90.46618950179082,812.9522470380623,102.44727380706568,939.7635554534123,171.185836147614
ASBGDRL,10.12292016792407,1.6462712061668592,10.146822352941177,1.9051628894166834,10.136933166095357,1.8099568515791857
ASBGERL,9.49620450717936,1.9449493581570207,9.348604207612455,2.1128804480332475,9.207962770333438,2.040620616437912
ASBGHRL,10.127685122900948,1.4296522033591879,10.482257570934255,1.4807154986573112,10.62477257541082,1.5930434134003015
ASBGSB,9.72077357994646,1.6778049910762387,10.45723821453287,1.7950029578059157,10.754207270177627,1.625260887232774
ASBGSCR,8.979806013628622,1.6387992943555085,9.439595307958477,1.849178930582688,9.45457975381739,1.8741798733550092
ASBGSEC,9.335655154538818,1.5398305873138036,9.240749958477508,1.7013052629419123,9.642867815518853,1.6621092430865851
ASBGSLR,9.700787997079582,1.8751572044391327,9.531734256055364,2.032805951419194,9.660869401682767,1.9718409608641994
ASBGSSB,9.643191647602823,1.9338550033630775,9.328596152249135,1.9225243273891,9.438299744468683,2.031139649045256
ASBHELA,8.686096352418648,1.4686956303983454,9.050389702999402,1.6615243086437501,9.252777383559707,1.5292528014955213
ASBHELN,9.134833431491847,1.4396540879979283,9.317221660899655,1.6629021302140332,9.501520511062637,1.5166849977447616
ASBHELT,10.487355565831102,1.4804035501119228,10.92775585467128,1.6830345211585132,11.53105775319414,1.6142201797778275
ASBHENA,9.73616499920572,1.7065980968752774,9.715086211875084,1.8590124843454976,9.893773798252354,1.740118784542751
ASBHPCS,10.48374897541981,1.679502846154217,9.502051591695501,1.888631407613182,10.176326516048611,1.7029347312268115
ASBHPLR,9.126778629836942,1.423832747324368,9.07030676816609,1.4037126457468085,8.988330610782175,1.3613708298520082
ASBHSES,9.938137089316136,1.667095532384744,10.565565598615917,1.764535171668799,10.506479167965098,1.8255284145243222
ASDAGE,9.892290094913603,0.3862546893634104,10.095716262975778,0.3031898553919932,10.038526020567156,0.36486372617383767
ASRIIE,539.1757112363106,59.96814561537107,565.532293817301,58.70948673468401,580.2713609797445,52.90354256550435
ASRINF,555.1464806468726,63.373553899754654,575.9310138934256,58.86631058099962,590.8279928787783,55.92875818160946
ASRLIT,530.8896633307373,62.1627290111631,555.814515950173,60.53461680767696,572.3913134129012,56.42541892343049
ASRREA,542.3236267520078,61.183866798508525,565.9575751031141,59.73123199283118,580.9598635200997,55.08908188075695
ASRRSI,548.3813673346312,65.92512865037494,565.8149113024222,62.4665979275214,586.1705340305391,60.52754575483862
ATBG01,13.256023363348747,9.649185598896247,20.178546712802767,7.9243276560614975,15.49423496416329,9.525070989368285
ATBGEAS,9.83304389632514,2.029938959893872,9.350626442906576,1.572332266908133,9.405961043938921,1.585747051361124
ATBGSLI,9.980064964711607,2.2397789202370504,9.406850262975777,1.2996564592313136,10.867595054534123,1.9074022118234744
ATBGSOS,11.427388622535899,2.058095274142481,9.26306878200692,1.764187498106061,11.291389918977876,2.0434212788722124
ATBGTJS,9.779827829155513,3.0632524586063563,8.822706235294117,2.9188897631975625,9.426383293861015,2.3697272143270576
ATBR01A,32.51155999026527,4.1661191074948976,26.249826989619375,2.876836094023247,30.169834839513868,4.543858040165027
ATBR01B,32.04404964711609,5.206753231589898,26.249826989619375,2.876836094023247,30.085371085510552,4.558601526298033
ATBR02A,1.9002190313944998,3.854810529307848,2.0228373702422147,2.4393255457749152,0.7207852913680274,3.0765292621444336
ATBR02B,3.3056704794353857,3.1536472863767995,3.2470588235294118,3.1055753634310883,1.4291056403864133,2.2264367109916003
ATDGLIHY,182.30502147724508,59.330274818731894,210.27215215916956,49.319921944523735,170.92908661265193,63.62238983802278
ATDGRIHY,95.15127373083476,71.9437220155436,106.35365512110727,84.24917539499425,93.25646023371768,52.6782586690021
