ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG05A,ASBG05B,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG05J,ASBG05K,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG10F,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH04,ASBH06,ASBH07F,ASBH09,ASBH14A,ASBH14B,ASBH14C,ASBH16,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG04,ACBG05A,ACBG05B,ACBG07A,ACBG07B,ACBG07C,ACBG08,ACBG13,ACBG14A,ACBG14B,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
9.42,587.7807839999999,542.6884600000001,561.873268,559.364444,572.0575620000001,8.77882,9.15299,8.183980000000004,8.54449,10.98651,11.30153,10.28978,10.89263,10.72985,9.79887,10.50035,10.1163,10.801940000000002,12.13203,9.58447,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,4,2,1,1,2,2,1,1,2,2,2,3,3,3,2,2,2,1,1,3,1,2,2,2,2,2,2,1,1,3,1,1,1,2,2,2,2,2,2,1,3,1,1,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,4,1,1,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
10.42,576.6041899999999,557.38371,612.571176,553.7442599999999,594.7216880000001,10.12086,9.82079,7.90321,10.0428,9.89746,9.17072,7.84162,10.22238,10.34719,7.61837,9.62426,8.57506,11.18387,10.10603,10.14182,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,4,1,1,2,1,1,1,2,2,2,2,5,2,3,2,2,1,2,1,3,2,4,2,1,2,1,2,2,3,2,1,1,1,2,2,2,2,2,3,2,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
10.25,566.230546,527.062732,573.71715,555.513492,571.1332639999999,11.61875,12.852619999999998,10.28695,13.33453,13.15938,9.86291,10.90567,9.915260000000002,9.65449,10.77067,13.20593,11.82488,12.79881,12.13203,8.67085,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,4,3,1,1,1,1,1,1,1,2,1,5,4,3,2,2,1,1,1,2,3,3,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,4,1,1,1,5,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,3,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
9.75,553.685776,547.536272,580.17664,557.419862,525.162578,8.55821,6.93638,9.85265,8.54449,7.86603,8.7748,8.428240000000002,8.54792,7.92896,8.05673,9.21443,8.57506,9.422330000000002,9.52493,8.45942,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,4,1,1,2,1,2,1,2,2,2,2,5,3,1,1,1,3,2,2,2,4,1,2,3,1,2,3,2,2,2,1,1,1,2,2,2,2,1,2,2,4,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,3,2,2,2,3,1,2,2,3,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
10.17,548.5204239999999,537.3576139999999,550.45419,529.205986,554.175506,9.25019,12.852619999999998,9.85265,9.56347,11.50099,10.14141,10.28978,9.915260000000002,10.72985,9.79887,9.21443,9.43432,10.445390000000002,9.52493,8.04235,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,3,1,1,1,2,2,1,2,2,2,2,5,2,3,2,1,1,2,2,4,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,3,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,3,4,4,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
9.83,569.255632,566.720902,549.441894,524.42905,548.835502,9.51164,9.15299,9.264140000000001,9.1701,9.60657,9.86291,10.28978,10.54337,10.34719,9.35253,12.25036,10.61066,8.72843,10.83953,10.47786,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,1,4,3,1,1,1,1,1,2,1,1,1,4,3,4,2,3,1,1,1,4,3,1,2,2,1,2,2,2,1,3,1,1,1,2,2,2,2,1,2,2,4,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,3,1,1,4,1,1,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
9.5,523.7965379999999,542.22294,566.593084,514.349786,554.8340259999999,7.90958,9.82079,12.567489999999998,7.440709999999999,8.6804,8.04592,8.428240000000002,8.94299,8.47905,8.05673,8.81024,8.36223,9.422330000000002,12.13203,9.34052,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,2,3,1,1,1,2,2,2,2,1,2,2,5,2,1,1,1,1,1,2,2,4,1,3,1,1,2,2,3,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,6,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,3,2,2,2,3,1,2,4,3,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
10.33,494.18724800000007,451.169812,507.248936,456.1568920000001,466.16707400000007,7.90958,9.15299,7.90321,10.66007,10.98651,8.7748,6.83123,8.54792,7.92896,6.169950000000001,7.128779999999999,6.533990000000001,8.36153,10.83953,4.99244,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,2,3,1,1,2,1,1,1,2,2,2,2,5,3,3,2,3,1,3,1,2,3,1,3,2,2,1,2,2,3,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,3,3,2,3,3,1,3,4,3,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
9.58,489.86751,458.231138,529.98181,501.5029280000001,498.331328,10.50352,9.82079,12.567489999999998,8.83577,9.00419,9.61297,7.84162,9.915260000000002,9.3078,11.33758,15.01872,12.69565,10.801940000000002,12.13203,9.22612,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,2,3,1,1,1,1,1,1,1,1,1,1,4,1,2,3,2,1,2,4,2,2,1,1,1,1,2,2,2,3,3,1,1,1,2,1,2,2,2,2,2,2,1,1,1,4,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,4,1,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
10.25,546.5495199999999,538.537552,569.6570320000001,518.556234,520.484612,9.25019,9.15299,8.183980000000004,9.1701,9.78987,9.38515,8.428240000000002,8.94299,8.92588,10.26741,11.55635,10.87826,12.12899,10.10603,8.88647,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,2,3,2,1,1,1,1,1,1,1,2,2,4,1,4,2,2,1,3,1,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,3,1,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,4,3,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,3,2,1,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2
