变量类型	变量
分类变量	IDCNTRY
分类变量	ITSEX
分类变量	LCID_SA
分类变量	ASRIBM01
分类变量	ASRIBM02
分类变量	ASRIBM03
分类变量	ASRIBM04
分类变量	ASRIBM05
分类变量	ASBG03
分类变量	ASBG04
分类变量	ASBG05A
分类变量	ASBG05B
分类变量	ASBG05C
分类变量	ASBG05D
分类变量	ASBG05E
分类变量	ASBG05F
分类变量	ASBG05G
分类变量	ASBG05H
分类变量	ASBG05I
分类变量	ASBG05J
分类变量	ASBG05K
分类变量	ASBG06
分类变量	ASBG07A
分类变量	ASBG07B
分类变量	ASBG08A
分类变量	ASBG08B
分类变量	ASBG09A
分类变量	ASBG09B
分类变量	ASBG09C
分类变量	ASBG09D
分类变量	ASBG09E
分类变量	ASBG09F
分类变量	ASBG09G
分类变量	ASBG09H
分类变量	ASBG10A
分类变量	ASBG10B
分类变量	ASBG10C
分类变量	ASBG10D
分类变量	ASBG10E
分类变量	ASBG10F
分类变量	ASBG11A
分类变量	ASBG11B
分类变量	ASBG11C
分类变量	ASBG11D
分类变量	ASBG11E
分类变量	ASBG11F
分类变量	ASBG11G
分类变量	ASBG11H
分类变量	ASBG11I
分类变量	ASBG11J
分类变量	ASBR01A
分类变量	ASBR01B
分类变量	ASBR01C
分类变量	ASBR01D
分类变量	ASBR01E
分类变量	ASBR01F
分类变量	ASBR01G
分类变量	ASBR01H
分类变量	ASBR01I
分类变量	ASBR02A
分类变量	ASBR02B
分类变量	ASBR02C
分类变量	ASBR02D
分类变量	ASBR02E
分类变量	ASBR03A
分类变量	ASBR03B
分类变量	ASBR03C
分类变量	ASBR04
分类变量	ASBR05
分类变量	ASBR06A
分类变量	ASBR06B
分类变量	ASBR07A
分类变量	ASBR07B
分类变量	ASBR07C
分类变量	ASBR07D
分类变量	ASBR07E
分类变量	ASBR07F
分类变量	ASBR07G
分类变量	ASBR07H
分类变量	ASBR08A
分类变量	ASBR08B
分类变量	ASBR08C
分类变量	ASBR08D
分类变量	ASBR08E
分类变量	ASBR08F
分类变量	ASDGSEC
分类变量	ASDGSSB
分类变量	ASDGSB
分类变量	ASDGERL
分类变量	ASDGDRL
分类变量	ASDGSLR
分类变量	ASDGSCR
分类变量	ASDG05S
分类变量	ASDRLOWP
分类变量	ASBH01A
分类变量	ASBH01B
分类变量	ASBH01C
分类变量	ASBH01D
分类变量	ASBH01E
分类变量	ASBH01F
分类变量	ASBH01G
分类变量	ASBH01H
分类变量	ASBH01I
分类变量	ASBH01J
分类变量	ASBH01K
分类变量	ASBH01L
分类变量	ASBH01M
分类变量	ASBH01N
分类变量	ASBH01O
分类变量	ASBH01P
分类变量	ASBH01Q
分类变量	ASBH01R
分类变量	ASBH02A
分类变量	ASBH02B
分类变量	ASBH03A
分类变量	ASBH03B
分类变量	ASBH03C
分类变量	ASBH03D
分类变量	ASBH03E
分类变量	ASBH03F
分类变量	ASBH04
分类变量	ASBH05AA
分类变量	ASBH05AB
分类变量	ASBH05B
分类变量	ASBH06
分类变量	ASBH07A
分类变量	ASBH07B
分类变量	ASBH07C
分类变量	ASBH07D
分类变量	ASBH07E
分类变量	ASBH07F
分类变量	ASBH07G
分类变量	ASBH08A
分类变量	ASBH08B
分类变量	ASBH08C
分类变量	ASBH08D
分类变量	ASBH08E
分类变量	ASBH08F
分类变量	ASBH09
分类变量	ASBH10
分类变量	ASBH11A
分类变量	ASBH11B
分类变量	ASBH11C
分类变量	ASBH11D
分类变量	ASBH11E
分类变量	ASBH11F
分类变量	ASBH11G
分类变量	ASBH11H
分类变量	ASBH12
分类变量	ASBH13
分类变量	ASBH14A
分类变量	ASBH14B
分类变量	ASBH14C
分类变量	ASBH15A
分类变量	ASBH15B
分类变量	ASBH16
分类变量	ASBH17A
分类变量	ASBH17B
分类变量	ASBH18AA
分类变量	ASBH18AB
分类变量	ASBH18BA
分类变量	ASBH18BB
分类变量	ASBH18CA
分类变量	ASBH18CB
分类变量	ASBH18DA
分类变量	ASBH18DB
分类变量	ASBH18EA
分类变量	ASBH18EB
分类变量	ASBH18FA
分类变量	ASBH18FB
分类变量	ASBH18GA
分类变量	ASBH18GB
分类变量	ASBH19
分类变量	ASBH20A
分类变量	ASBH20B
分类变量	ASBH20C
分类变量	ASBH21A
分类变量	ASBH21B
分类变量	ASBH21C
分类变量	ASBH21D
分类变量	ASBH22
分类变量	ASDGHRL
分类变量	ASDHSES
分类变量	ASDHELA
分类变量	ASDHENA
分类变量	ASDHELN
分类变量	ASDHELT
分类变量	ASDHPCS
分类变量	ASDHPLR
分类变量	ASDHAPS
分类变量	ASDHEDUP
分类变量	ASDHOCCP
分类变量	ACBG03A
分类变量	ACBG03B
分类变量	ACBG04
分类变量	ACBG05A
分类变量	ACBG05B
分类变量	ACBG06C
分类变量	ACBG07A
分类变量	ACBG07B
分类变量	ACBG07C
分类变量	ACBG08
分类变量	ACBG10AA
分类变量	ACBG10AB
分类变量	ACBG10AC
分类变量	ACBG10AD
分类变量	ACBG10AE
分类变量	ACBG10AF
分类变量	ACBG10AG
分类变量	ACBG10AH
分类变量	ACBG10AI
分类变量	ACBG10AJ
分类变量	ACBG10BA
分类变量	ACBG10BB
分类变量	ACBG10BC
分类变量	ACBG10BD
分类变量	ACBG11A
分类变量	ACBG11B
分类变量	ACBG11C
分类变量	ACBG11D
分类变量	ACBG11E
分类变量	ACBG11F
分类变量	ACBG11G
分类变量	ACBG11H
分类变量	ACBG11I
分类变量	ACBG11J
分类变量	ACBG11K
分类变量	ACBG11L
分类变量	ACBG12A
分类变量	ACBG12B
分类变量	ACBG12C
分类变量	ACBG12D
分类变量	ACBG12E
分类变量	ACBG12F
分类变量	ACBG12G
分类变量	ACBG12H
分类变量	ACBG12I
分类变量	ACBG12J
分类变量	ACBG13
分类变量	ACBG14A
分类变量	ACBG14B
分类变量	ACBG14C
分类变量	ACBG14D
分类变量	ACBG14E
分类变量	ACBG14F
分类变量	ACBG14G
分类变量	ACBG14H
分类变量	ACBG14I
分类变量	ACBG14J
分类变量	ACBG14K
分类变量	ACBG14L
分类变量	ACBG14M
分类变量	ACBG14N
分类变量	ACBG17
分类变量	ACBG18A
分类变量	ACBG18B
分类变量	ACBG18C
分类变量	ACBG19
分类变量	ACBG20
分类变量	ACBG21A
分类变量	ACBG21B
分类变量	ACBG21C
分类变量	ACBG21D
分类变量	ACBG21E
分类变量	ACBG21F
分类变量	ACDGRRS
分类变量	ACDGEAS
分类变量	ACDGDAS
分类变量	ACDGSBC
分类变量	ITLANG_TQ
分类变量	ATBG02
分类变量	ATBG03
分类变量	ATBG04
分类变量	ATBG05AA
分类变量	ATBG05AB
分类变量	ATBG05AC
分类变量	ATBG05AD
分类变量	ATBG05BA
分类变量	ATBG05BB
分类变量	ATBG05BC
分类变量	ATBG05BD
分类变量	ATBG05BE
分类变量	ATBG05BF
分类变量	ATBG05BG
分类变量	ATBG05BH
分类变量	ATBG05BI
分类变量	ATBG05BJ
分类变量	ATBG05BK
分类变量	ATBG06
分类变量	ATBG07AA
分类变量	ATBG07BA
分类变量	ATBG07AB
分类变量	ATBG07BB
分类变量	ATBG07AC
分类变量	ATBG07BC
分类变量	ATBG07AD
分类变量	ATBG07BD
分类变量	ATBG07AE
分类变量	ATBG07BE
分类变量	ATBG07AF
分类变量	ATBG07BF
分类变量	ATBG07AG
分类变量	ATBG07BG
分类变量	ATBG08A
分类变量	ATBG08B
分类变量	ATBG08C
分类变量	ATBG08D
分类变量	ATBG08E
分类变量	ATBG09A
分类变量	ATBG09B
分类变量	ATBG09C
分类变量	ATBG09D
分类变量	ATBG10A
分类变量	ATBG10B
分类变量	ATBG10C
分类变量	ATBG10D
分类变量	ATBG10E
分类变量	ATBG10F
分类变量	ATBG10G
分类变量	ATBG10H
分类变量	ATBG10I
分类变量	ATBG10J
分类变量	ATBG10K
分类变量	ATBG10L
分类变量	ATBG11A
分类变量	ATBG11B
