ATBR01B,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGRIHY,cluster,cluster_pred
34.0,8.0,9.44107,13.6815,8.67953,10.27928,58.5,2,2
25.0,8.0,9.44107,11.59162,8.0184,10.90415,39.0,2,2
29.000000000000004,10.0,9.44107,8.99685,10.39017,9.68037,26.13333,2,2
27.0,2.0,8.83963,10.40627,8.67953,8.54995,26.53333,3,3
27.0,10.0,9.44107,12.35702,9.27422,5.31576,13.26667,2,2
31.0,3.0000000000000004,8.83963,10.40627,6.680299999999999,9.68037,26.0,3,3
33.0,0.0,12.58648,13.6815,11.82034,12.34223,87.5,5,4
33.0,4.0,12.95333,13.6815,11.82034,11.57611,350.0,1,1
33.0,2.0,13.7901,13.6815,11.82034,10.90415,268.33333,1,1
33.0,1.0,13.7901,13.6815,11.82034,11.57611,233.33333,1,1
30.0,4.0,11.27266,11.59162,13.241339999999996,11.57611,156.0,5,4
29.000000000000004,5.0,10.65566,13.6815,13.241339999999996,10.90415,74.75,5,4
29.000000000000004,3.0000000000000004,11.58744,13.6815,13.241339999999996,12.34223,74.75,5,4
28.0,0.0,10.04647,10.96579,11.01744,9.68037,156.0,1,1
23.0,6.000000000000001,10.04647,13.6815,13.241339999999996,10.90415,65.0,5,4
22.0,9.0,10.04647,13.6815,13.241339999999996,10.90415,65.0,5,4
33.0,10.0,7.63433,7.52665,6.01233,10.27928,52.0,2,3
35.0,4.0,7.0062,9.89419,7.334360000000001,10.90415,19.5,3,3
18.0,7.0,8.54003,8.99685,7.334360000000001,9.1022,91.0,0,0
35.0,5.0,9.44107,7.87142,6.680299999999999,9.68037,123.5,3,3
34.0,0.0,8.54003,13.6815,3.83998,5.31576,32.5,3,3
35.0,0.0,7.63433,12.35702,5.21324,6.51654,32.5,3,3
35.0,1.0,7.93892,10.40627,3.83998,10.27928,26.0,3,3
36.0,2.0,9.13986,10.40627,3.83998,9.68037,26.0,3,3
36.0,3.0000000000000004,11.58744,10.96579,10.39017,11.57611,130.0,6,5
35.0,0.0,10.04647,13.6815,13.241339999999996,10.90415,26.0,6,5
35.0,3.0000000000000004,9.44107,9.89419,6.680299999999999,7.52318,104.0,3,3
35.0,2.0,8.24023,9.42597,11.01744,9.68037,136.5,3,3
31.0,3.0000000000000004,8.24023,10.40627,8.0184,9.68037,91.0,3,3
32.0,5.0,8.83963,13.6815,5.21324,10.27928,195.0,1,1
31.0,1.0,7.0062,8.59932,5.21324,15.07968,148.2,3,3
33.0,5.0,7.0062,8.59932,9.27422,8.54995,65.0,2,2
36.0,5.0,6.33546,8.99685,3.83998,8.54995,45.75,3,3
27.0,8.0,9.44107,7.52665,11.82034,9.1022,47.46667,2,2
26.0,1.0,8.83963,11.59162,8.67953,10.27928,468.0,1,1
26.0,0.0,12.58648,13.6815,11.82034,12.34223,182.0,1,1
21.0,5.0,7.63433,10.40627,13.241339999999996,11.57611,464.56667,1,1
15.0,0.0,7.32427,8.22671,8.67953,9.68037,150.83333,0,0
26.0,2.0,9.7433,12.35702,13.241339999999996,8.54995,26.0,5,4
26.0,6.000000000000001,9.7433,12.35702,13.241339999999996,8.54995,26.0,2,2
19.0,11.0,8.54003,8.99685,8.0184,8.54995,65.0,0,0
14.0,8.0,8.24023,9.42597,8.0184,9.1022,65.0,0,0
32.0,0.0,9.44107,13.6815,13.241339999999996,15.07968,58.5,6,5
30.0,4.0,9.7433,9.89419,9.82876,10.27928,78.0,2,2
32.0,0.0,9.7433,10.40627,8.67953,13.321370000000002,26.0,6,5
16.0,3.0000000000000004,8.83963,13.6815,8.67953,9.68037,13.0,0,0
32.0,3.0000000000000004,12.95333,13.6815,13.241339999999996,7.52318,78.0,5,4
33.0,3.0000000000000004,12.95333,12.35702,13.241339999999996,12.34223,78.0,5,4
32.0,10.0,14.29769,13.6815,11.01744,10.27928,78.0,5,4
34.0,10.0,10.35049,13.6815,8.67953,9.68037,26.0,2,2
34.0,10.0,10.65566,13.6815,9.27422,9.68037,58.5,2,2
34.0,5.0,8.83963,11.59162,9.27422,9.68037,58.5,2,2
34.0,3.0000000000000004,7.63433,12.35702,10.39017,9.1022,58.5,2,2
35.0,6.000000000000001,8.83963,10.96579,8.0184,9.68037,58.5,2,2
34.0,7.0,8.83963,10.96579,8.0184,9.1022,58.5,2,2
28.0,0.0,5.5941,8.99685,6.680299999999999,9.68037,32.5,3,3
28.0,3.0000000000000004,6.67793,7.87142,3.83998,10.27928,32.5,3,3
35.0,0.0,12.58648,13.6815,9.27422,11.57611,26.0,6,5
34.0,0.0,12.58648,13.6815,8.0184,11.57611,26.0,6,5
34.0,0.0,12.58648,13.6815,9.82876,11.57611,26.0,6,5
35.0,0.0,12.58648,13.6815,9.82876,11.57611,26.0,6,5
35.0,1.0,9.44107,12.35702,13.241339999999996,15.07968,183.75,1,1
34.0,2.0,8.83963,10.40627,13.241339999999996,9.68037,116.66667,5,4
35.0,2.0,8.83963,10.40627,13.241339999999996,9.68037,116.66667,5,4
37.0,2.0,11.90844,11.59162,6.680299999999999,10.27928,52.0,2,2
37.0,2.0,9.7433,11.59162,7.334360000000001,12.34223,126.75,6,5
37.0,0.0,11.27266,9.42597,13.241339999999996,10.27928,78.0,6,5
33.0,5.0,10.35049,13.6815,13.241339999999996,9.1022,230.75,1,1
32.0,3.0000000000000004,8.83963,10.96579,3.83998,8.0267,182.0,3,3
30.0,4.0,10.65566,11.59162,11.01744,10.90415,130.0,5,4
33.0,3.0000000000000004,10.35049,11.59162,11.01744,9.1022,130.0,5,4
30.0,3.0000000000000004,9.13986,11.59162,13.241339999999996,9.1022,182.0,1,1
32.0,2.0,11.58744,10.40627,3.83998,10.27928,182.0,1,1
34.0,4.0,8.54003,9.42597,6.01233,8.54995,65.0,3,3
33.0,3.0000000000000004,8.54003,9.42597,6.01233,9.1022,65.0,3,3
27.0,3.0000000000000004,10.04647,12.35702,11.82034,8.54995,325.0,1,1
26.0,2.0,13.7901,13.6815,13.241339999999996,10.90415,325.0,1,1
27.0,1.0,13.34977,13.6815,13.241339999999996,10.27928,325.0,1,1
15.0,0.0,9.7433,10.40627,8.67953,10.27928,325.0,1,1
26.0,1.0,11.90844,13.6815,13.241339999999996,12.34223,325.0,1,1
31.0,1.0,9.7433,13.6815,6.01233,10.27928,52.0,6,5
31.0,1.0,11.90844,13.6815,11.01744,11.57611,52.0,6,5
31.0,1.0,9.44107,13.6815,13.241339999999996,9.68037,78.0,5,4
35.0,4.0,9.44107,10.40627,13.241339999999996,10.90415,35.4,2,2
35.0,3.0000000000000004,7.32427,13.6815,13.241339999999996,9.68037,123.90000000000002,5,4
35.0,7.0,8.24023,12.35702,10.39017,9.68037,17.7,2,2
35.0,2.0,8.24023,13.6815,11.01744,10.27928,59.0,6,5
28.0,2.0,8.83963,10.96579,11.01744,11.57611,61.95000000000001,6,5
27.0,0.0,8.83963,10.96579,11.01744,11.57611,61.95000000000001,6,5
31.0,6.000000000000001,8.83963,9.89419,6.680299999999999,10.27928,13.0,3,3
34.0,3.0000000000000004,9.7433,10.40627,11.01744,9.68037,78.0,1,4
32.0,2.0,8.54003,11.59162,8.0184,12.34223,104.0,6,5
32.0,1.0,8.83963,10.96579,8.0184,12.34223,104.0,6,5
25.0,4.0,9.44107,9.42597,10.39017,10.27928,26.13333,3,3
25.0,3.0000000000000004,9.44107,9.42597,10.39017,10.27928,26.13333,3,3
35.0,8.0,9.44107,12.35702,9.82876,10.27928,221.0,1,1
40.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
34.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
32.0,1.0,11.27266,13.6815,13.241339999999996,2.7955,143.0,5,4
40.0,1.0,10.96267,13.6815,13.241339999999996,2.7955,143.0,5,4
34.0,4.0,9.7433,13.6815,11.82034,10.90415,143.0,5,4
33.0,5.0,9.13986,10.40627,7.334360000000001,10.27928,21.45,3,3
34.0,5.0,9.13986,10.40627,7.334360000000001,10.27928,21.45,3,3
33.0,5.0,10.04647,12.35702,11.82034,8.0267,39.2,5,4
33.0,3.0000000000000004,9.44107,10.96579,13.241339999999996,9.68037,52.26667,5,4
