LINK_index,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBR04,ATBR05,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITLANG_TQ,LCID_TQ,ATBG02,ATBG03,ATBG04,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10J,ATBG10K,ATBG10L,ATBG11A,ATBG11B,ATBG11C,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11H,ATBG11I,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBR03A,ATBR03B,ATBR03C,ATBR03D,ATBR03E,ATBR03F,ATBR03G,ATBR03H,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI,cluster,cluster_cat
44650015001011500101014,32,34,34,1,8,280,90,9.44107,13.6815,8.67953,10.27928,182,58.5,10,5124,1,5,4,1,2,2,1,3,2,3,3,2,3,2,2,2,3,2,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,3,2,1,2,2,2,2,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,4,4,3,2,1,3,4,2,1,3,3,3,2,2,2,2,2,3,3,3,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,3,1,1,4,5,3,1,2,1,1,1,2,1,1,5,2,1,2,2,2,TEA_2
44650015001033500103034,26,25,25,1,8,280,60,9.44107,11.59162,8.0184,10.90415,182,39,10,5124,1,5,4,1,2,2,1,3,3,3,3,2,3,3,3,3,2,3,1,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,2,2,3,3,2,4,2,3,2,1,1,1,1,1,1,1,1,3,2,2,2,2,3,2,2,1,2,1,2,2,1,1,3,3,2,2,2,1,2,3,4,3,3,1,2,1,1,2,1,1,2,3,3,2,2,2,2,2,4,2,3,3,1,2,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,4,1,1,3,3,2,1,2,2,2,2,2,1,1,5,2,1,2,1,2,TEA_2
44650025002011500201014,7,29.000000000000004,29.000000000000004,10,10,360,40,9.44107,8.99685,10.39017,9.68037,235.2,26.13333,1,10333,1,2,5,1,2,1,2,3,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,3,3,2,2,2,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,3,1,2,2,1,1,2,2,1,3,2,1,1,3,2,2,3,2,3,2,3,2,2,1,1,2,2,1,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,4,3,2,2,2,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,2,1,1,4,2,2,2,2,2,1,2,1,2,2,2,1,5,2,2,1,2,2,TEA_2
44650045004011500401014,7,27,27,2,2,240.00000000000003,40,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,10,5124,1,3.0000000000000004,5,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2,3,TEA_3
44650045004033500403034,5,27,27,8,10,90,20,9.44107,12.35702,9.27422,5.31576,59.7,13.26667,10,5124,2,3.0000000000000004,5,1,2,2,1,3,2,3,3,2,3,2,2,2,1,2,3,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,3,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,3,3,3,2,3,3,3,3,3,4,3,2,3,3,4,3,3,4,4,4,2,2,2,1,1,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3,3,3,4,3,3,3,4,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,5,2,1,2,3,2,TEA_2
44650055005022500502024,12.000000000000002,31,31,5,3.0000000000000004,220,40,8.83963,10.40627,6.680299999999999,9.68037,143,26,10,5124,1,3.0000000000000004,5,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,3,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,1,1,2,2,1,1,2,3,2,2,2,3,3,1,2,2,1,2,2,2,2,1,3,3,3,4,3,3,4,4,3,4,3,4,2,2,3,2,2,2,3,3,2,2,2,3,3,3,2,1,3,3,2,3,3,3,3,3,3,2,4,4,4,3,1,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,2,2,2,2,2,1,2,1,1,2,1,1,2,3,2,5,3,1,3,2,3,TEA_3
44650075007011500701014,7,33,33,0,0,510,150,12.58648,13.6815,11.82034,12.34223,297.5,87.5,10,5124,1,3.0000000000000004,6,1,2,2,2,3,3,3,3,3,3,2,3,3,2,3,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,3,1,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,3,3,1,2,3,3,2,3,3,3,1,1,2,2,2,1,2,3,2,3,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,3,3,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,3,4,1,1,1,3,2,1,1,1,1,1,1,1,1,3,2,1,1,1,5,TEA_5
44650075007022500702024,28,33,33,0,4,600,600,12.95333,13.6815,11.82034,11.57611,350,350,10,5124,1,5,4,1,2,1,2,3,3,3,3,2,3,1,2,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,3,2,2,3,1,3,4,4,1,2,2,4,2,1,1,1,1,1,1,3,2,2,1,2,1,3,2,1,1,1,1,1,1,1,2,1,3,1,1,4,4,2,1,2,3,3,1,1,1,1,2,2,1,1,1,2,3,3,3,3,1,3,3,1,2,1,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,TEA_1
44650075007033500703034,9,33,33,0,2,340,460,13.7901,13.6815,11.82034,10.90415,198.33333,268.33333,10,5124,1,3.0000000000000004,5,2,1,1,2,3,3,3,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,3,3,3,1,1,2,4,1,2,3,3,3,2,1,1,2,2,1,2,2,2,3,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,4,4,2,1,1,3,3,1,2,1,1,2,3,3,3,3,3,4,4,4,4,1,4,3,1,2,3,3,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,TEA_1
44650075007044500704044,29.000000000000004,33,33,0,1,280,400,13.7901,13.6815,11.82034,11.57611,163.33333,233.33333,10,5124,1,4,5,1,2,1,2,3,3,3,3,3,2,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,3,3,1,1,2,4,1,2,3,3,3,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,4,4,2,1,1,3,3,1,2,1,1,2,3,3,3,3,3,4,4,4,4,1,4,3,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,TEA_1
