ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG05A,ASBG05B,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG05J,ASBG05K,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG10F,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH04,ASBH06,ASBH07F,ASBH09,ASBH14A,ASBH14B,ASBH14C,ASBH16,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG04,ACBG05A,ACBG05B,ACBG07B,ACBG07C,ACBG08,ACBG13,ACBG14A,ACBG14B,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
10.17,613.71761,584.11264,594.488182,585.169606,569.777988,8.12699,8.23773,10.965,8.05152,9.00419,11.30153,9.399640000000002,10.54337,9.65449,14.774559999999997,15.01872,15.91536,12.79881,12.13203,8.67085,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,1,4,2,1,1,1,2,2,2,1,1,2,4,3,2,2,2,2,1,3,4,2,2,3,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
9.5,627.7357959999999,605.068466,615.884752,615.8552,627.4384400000001,9.51164,12.852619999999998,9.528710000000002,11.54818,9.60657,10.83607,10.28978,10.145863915647242,9.91394,8.91792,10.04897,9.43432,13.91988,12.13203,8.2504,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,5,1,1,1,2,1,1,1,2,2,2,5,3,3,2,2,1,2,2,3,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,3,1,3,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
9.67,587.833326,580.834606,588.412586,588.788202,608.000922,9.00789,9.82079,9.528710000000002,10.66007,10.98651,12.86202,10.90567,13.04647,11.17158,10.26741,9.21443,9.65595,10.445390000000002,12.13203,8.45942,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,4,4,1,1,2,1,2,1,2,2,2,5,3,4,2,2,1,1,1,1,1,4,2,1,1,1,2,1,1,3,1,1,1,2,2,2,2,1,2,1,2,1,1,1,5,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
9.58,597.414008,608.565284,622.615188,606.000634,589.1121019999999,8.34208,12.852619999999998,12.567489999999998,8.54449,10.21804,8.04592,8.72693,10.22238,10.34719,6.169950000000001,7.99769,7.029620000000001,10.445390000000002,9.52493,8.45942,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,1,4,1,1,2,1,2,2,2,1,2,2,5,3,4,2,2,1,2,2,4,2,1,3,1,1,2,2,3,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,3,2,2,2,1,2,4,1,2,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.25,567.700602,556.695244,593.986314,551.51106,559.676548,9.25019,8.23773,10.965,8.28542,5.92238,10.45984,9.8041,9.91526,9.65449,8.05673,8.40746,8.14839,8.72843,7.91212,8.04235,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,1,4,3,1,2,2,1,2,2,1,1,2,5,1,1,2,2,1,1,1,4,1,2,2,2,1,2,3,1,2,2,1,1,1,2,2,2,2,1,2,3,2,1,1,1,5,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,3,2,3,2,1,2,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.25,593.8966979999999,580.368812,608.45218,599.18135,612.717158,8.77882,6.27818,9.264140000000001,8.28542,9.60657,10.45984,8.428240000000002,12.298249999999998,13.04932,9.35253,8.81024,9.00134,10.801940000000002,8.994789999999998,9.34052,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,4,3,2,1,2,1,2,2,1,1,2,5,2,1,2,1,1,3,2,2,2,2,2,3,1,2,2,1,2,3,1,1,1,2,2,2,2,1,2,1,3,1,1,1,6,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.33,598.37486,632.4402640000001,650.227056,599.903776,614.7535,8.77882,9.15299,12.567489999999998,8.83577,9.30655,7.68295,9.399640000000002,10.54337,10.34719,9.79887,11.55635,10.61066,12.12899,8.994789999999998,9.10865,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,4,3,1,1,1,1,1,1,1,2,2,5,4,1,2,2,1,4,4,4,3,1,2,2,1,2,2,3,2,2,1,1,1,2,2,2,2,2,2,2,3,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,3,2,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.08,576.6122159999999,553.543426,608.4508819999999,570.883642,568.30143,10.50352,9.15299,10.28695,9.56347,10.21804,11.30153,10.90567,14.50919,12.27791,9.79887,9.21443,9.43432,10.445390000000002,8.994789999999998,7.8339,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,1,4,2,2,1,2,1,1,1,1,1,1,5,2,1,3,2,1,2,2,2,2,1,1,2,1,1,2,1,1,3,1,1,1,2,2,2,2,1,2,1,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.5,669.004832,644.0082160000001,659.4683140000001,658.476574,639.9142820000001,11.61875,6.93638,12.567489999999998,8.28542,5.92238,10.45984,9.8041,13.04647,14.5106,7.61837,9.62426,8.57506,13.91988,8.994789999999998,10.8815,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,5,1,1,1,2,1,2,2,1,2,1,5,2,1,3,3,1,1,1,2,1,3,1,3,1,2,3,1,2,2,1,1,1,2,1,2,2,1,2,1,4,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
9.83,565.960436,582.234982,636.4515800000001,592.4202360000002,572.3809300000001,7.90958,12.852619999999998,10.965,8.83577,10.10785,9.38515,9.8041,10.54337,10.72985,9.79887,11.55635,10.61066,10.10135,12.13203,8.45942,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,4,1,2,1,2,1,1,1,2,2,2,5,2,1,2,2,1,3,3,3,1,1,3,1,1,2,2,2,2,3,1,1,1,2,2,2,2,1,2,1,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,4,2,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
