ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG05A,ASBG05B,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG05J,ASBG05K,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG10F,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH04,ASBH06,ASBH07F,ASBH09,ASBH14A,ASBH14B,ASBH14C,ASBH16,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG04,ACBG05A,ACBG05B,ACBG07B,ACBG07C,ACBG08,ACBG13,ACBG14A,ACBG14B,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
10.33,660.015222,619.327962,634.4457479999999,606.117208,621.1676020000001,7.68647,9.15299,10.28695,13.33453,5.92238,14.87956,7.84162,14.50919,14.5106,12.95777,13.20593,13.29912,13.91988,7.91212,13.71967,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,5,3,1,1,2,1,2,2,1,2,2,5,3,2,3,2,1,2,1,1,1,3,3,2,1,1,3,1,3,3,1,1,1,1,2,2,2,1,2,1,4,1,1,1,6,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,1,4,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
10.17,648.778896,649.3215459999999,705.8574919999999,622.521156,612.423274,14.77909,3.2450599999999996,7.37578,6.54828,5.92238,12.86202,13.45388,14.4472,14.45152,11.33758,12.25036,11.82488,13.91988,12.13203,8.67085,200.0,1.0,1.0,7.37191,9.40492,9.92826,791.66667,25.0,33.0,33.0,0.0,0.0,8.83963,9.42597,8.67953,7.52318,171.0,133.0,2,5,3,1,1,1,1,1,1,1,2,1,5,1,1,2,3,4,1,1,4,2,4,1,3,3,3,3,1,1,3,1,1,1,1,2,2,2,3,2,1,4,1,1,1,6,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,7,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,5,2,3,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,1,2,1,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,4,2,3,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,3,2,2,2,2,3,3,1,1,2,2,2,1,1,1,1,1,2,3,3,2,3,3,3,1,1,1,1,1,1,2,1,2,1,2,3,3,4,1,4,2,2,2,2,1,1,3,3,3,1,1,1,1,1,5,3,2,2,2
9.92,552.51868,556.568618,549.750112,552.04206,542.205534,10.50352,9.82079,8.33331,13.33453,5.92238,11.92201,9.0457,14.50919,14.5106,8.48851,8.81024,8.57506,8.72843,12.13203,8.88647,100.0,1.0,1.0,8.75973,7.853500000000001,12.9615,855.0,26.0,28.0,28.0,0.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,1,4,3,1,1,2,1,1,1,1,1,1,5,3,3,3,3,1,1,1,1,2,3,1,1,2,1,3,1,2,3,1,1,1,2,1,2,2,2,2,1,4,1,1,1,5,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,3,1,2,4,1,1,1,3,3,2,1,1,3,1,2,1,1,1,1,2,2,2,5,3,3,5,4,3,1,2,2,5,1,1,1,1,1,1,1,2,3,1,1,1,5,1,2,1,2,3,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,3,3,1,4,4,4,4,3,4,4,3,4,4,4,4,2,2,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4,1,2,2,2,2,1,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,2,4,2,1,2,2,2,1,2,1,1,1,2,1,2,2,3,2,2,1
10.33,567.999424,505.280796,575.788294,534.38173,514.921298,14.77909,7.87932,8.183980000000004,2.39842,5.92238,6.39342,11.76022,11.74392,10.34719,10.26741,10.9917,10.61066,13.91988,12.13203,8.2504,100.0,1.0,1.0,8.75973,7.853500000000001,12.9615,855.0,26.0,28.0,28.0,0.0,1.0,8.83963,9.89419,8.67953,13.32137,152.0,152.0,2,4,2,1,1,1,1,1,1,2,2,1,5,1,1,3,3,1,2,1,2,2,4,1,2,2,3,3,3,1,3,1,1,1,2,2,2,2,1,2,1,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,1,1,1,2,4,1,1,1,3,3,2,1,1,3,1,2,1,1,1,1,2,2,2,5,3,3,5,4,3,1,2,2,5,1,1,1,1,1,1,1,2,3,1,1,1,5,1,2,1,2,3,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,3,3,1,4,4,4,4,3,4,4,3,4,4,4,4,2,2,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4,1,2,2,2,2,1,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,2,4,2,1,2,2,2,1,2,1,1,1,2,1,2,2,3,2,2,1
9.83,496.409604,529.017014,500.0630939999999,506.6771860000001,500.95516,5.40442,7.55475,8.04113,6.36679,7.23115,5.76631,5.95198,8.08848,8.92588,3.91689,2.85854,3.02642,8.36153,7.91212,8.67085,200.0,3.0000000000000004,3.0,7.860289999999999,7.853500000000001,8.49279,997.5000000000001,29.000000000000004,29.0,29.0,0.0,0.0,9.44107,12.35702,7.334360000000001,11.57611,221.66667,22.16667,1,3,3,1,1,1,1,1,2,2,2,2,3,1,1,2,3,3,4,4,3,3,1,3,2,2,3,3,3,3,2,1,1,1,2,2,2,2,2,2,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,4,3,4,3,2,3,1,1,1,3,1,1,1,1,1,1,2,3,3,4,2,4,5,5,3,1,2,2,5,1,2,1,1,1,1,1,2,3,2,2,2,5,1,2,1,1,3,2,3,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,3,3,2,2,4,3,3,2,3,4,3,3,3,4,3,4,2,1,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,4,4,4,2,2,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,2,1,2,3,2,2,2,2,2,1,1,1,2,2,3,2,1,2,1
9.58,504.22405199999986,424.712284,501.07877400000007,492.30567,509.926076,10.12086,8.23773,10.28695,8.83577,9.30655,9.63171,8.428240000000002,9.33501,8.89752,8.05673,8.81024,8.36223,9.0796,6.27013,8.2504,200.0,3.0000000000000004,3.0,7.860289999999999,7.853500000000001,8.49279,997.5000000000001,29.000000000000004,29.0,29.0,0.0,0.0,9.44107,12.35702,7.334360000000001,11.57611,221.66667,22.16667,2,3,1,2,1,2,1,1,2,2,2,1,5,3,1,2,2,1,1,2,1,3,2,2,2,1,2,2,2,2,3,1,1,2,1,2,1,2,3,2,4,2,2,2,2,3,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,3,2,1,5,2,3,2,3,1,1,1,3,1,1,1,1,1,1,2,3,3,4,2,4,5,5,3,1,2,2,5,1,2,1,1,1,1,1,2,3,2,2,2,5,1,2,1,1,3,2,3,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,3,3,2,2,4,3,3,2,3,4,3,3,3,4,3,4,2,1,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,4,4,4,2,2,2,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,2,1,2,3,2,2,2,2,2,1,1,1,2,2,3,2,1,2,1
11.25,380.614052,413.363346,314.30664,351.050174,355.9507640000001,9.00789,9.82079,9.85265,9.1701,8.6804,10.14141,7.532170000000001,10.54337,11.17158,8.91792,10.50035,9.65595,7.0695500000000004,12.13203,10.8815,40.0,18.0,1.0,7.17829,10.36678,12.9615,1002.75,20.0,24.0,24.0,0.0,4.0,9.139860000000002,8.99685,8.67953,9.680369999999998,171.9,19.1,1,1,4,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,2,3,1,2,4,2,1,2,2,2,4,2,1,2,1,1,1,5,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,3,1,1,4,1,1,1,2,3,1,1,1,3,1,1,1,1,1,2,3,3,4,4,3,4,4,4,2,1,2,2,4,1,1,1,1,1,1,1,2,2,1,3,1,4,1,2,1,1,3,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,3,2,2,2,3,4,4,3,3,1,4,3,3,1,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
9.75,514.4749079999999,490.083706,504.2885539999999,499.2815939999999,509.85120600000005,11.61875,9.15299,12.567489999999998,10.66007,8.31437,10.83607,11.76022,11.09866,10.9525,8.48851,8.81024,8.57506,11.18387,12.13203,9.8488,70.00000000000001,12.000000000000002,1.0,7.37191,8.7756,12.9615,775.83333,10.0,27.0,27.0,0.0,4.0,8.54003,9.89419,13.241339999999997,9.680369999999998,199.50000000000003,155.16667,1,3,3,1,1,1,1,1,1,1,2,2,5,1,3,2,2,1,2,2,4,1,1,1,2,1,1,2,1,1,3,1,1,1,1,2,1,2,2,2,1,2,1,1,1,6,1,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,2,3,5,4,2,1,2,2,3,1,1,1,1,1,1,1,2,3,1,3,1,3,1,2,1,2,3,1,3,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,3,2,1,3,3,3,3,3,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,4,4,1,1,1,1,2,4,4,3,2,4,4,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,2,1,1,4,2,3,2,2,1,1,1,1,1,1,1,2,5,3,2,1,2
10.33,558.174228,538.5317379999999,523.880988,529.2396560000001,530.7921739999999,10.50352,9.82079,9.264140000000001,10.66007,12.18062,9.86291,9.399640000000002,13.04647,14.5106,11.33758,12.25036,11.82488,12.79881,10.10603,10.47786,200.0,2.0,2.0,6.96147,9.08841,11.79092,731.5,15.0,34.0,34.0,0.0,2.0,10.96267,11.59162,8.67953,9.1022,104.5,20.9,2,4,4,2,1,2,1,2,1,1,1,1,4,4,3,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,3,1,1,2,1,2,2,2,3,2,1,3,1,1,1,6,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,4,1,1,1,1,3,1,2,2,3,3,2,3,5,5,2,1,2,2,5,1,1,1,1,1,1,1,3,3,1,1,1,4,1,2,1,1,3,3,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,3,3,3,3,3,2,3,3,2,4,3,3,1,4,2,2,1,1,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,3,4,2,1,2,3,2,2,2,2,1,1,1,1,1,1,2,1,2,2
9.92,596.207174,566.759562,569.49598,573.53315,548.4434200000001,9.79644,12.852619999999998,12.567489999999998,13.33453,12.18062,11.92201,9.399640000000002,11.74392,14.5106,6.169950000000001,5.4551,5.669340000000001,10.801940000000002,7.91212,8.45942,200.0,2.0,2.0,6.96147,9.08841,11.79092,731.5,15.0,34.0,34.0,0.0,2.0,10.96267,11.59162,8.67953,9.1022,104.5,20.9,1,4,1,1,1,2,1,2,2,1,1,1,5,3,3,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,6,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,3,3,3,2,2,2,4,1,1,1,1,3,2,1,1,4,1,1,1,1,3,1,2,2,3,3,2,3,5,5,2,1,2,2,5,1,1,1,1,1,1,1,3,3,1,1,1,4,1,2,1,1,3,3,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,3,3,3,3,3,2,3,3,2,4,3,3,1,4,2,2,1,1,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,3,4,2,1,2,3,2,2,2,2,1,1,1,1,1,1,2,1,2,2
