component,var_name,corr_ratio
dim_11,ATBR09G,0.3538855726212699
dim_11,ATBR12EC,0.3466813639440777
dim_11,ATBR10F,0.3387892259544777
dim_11,ATBR12EB,0.33043515698119297
dim_11,ATBR10G,0.32909939510348796
dim_11,ATBR12C,0.32234112536348014
dim_11,ATBR08H,0.3140955706727292
dim_11,ATBR09D,0.3098554238835817
dim_11,ATBR09F,0.30945339406424427
dim_11,ATBR12DB,0.3088775844522529
dim_11,ATBR12EA,0.3041090612593989
dim_11,ATBR10D,0.303371915109723
dim_11,ATBR12A,0.30103863342383663
dim_11,ATBR12BC,0.2951223816679535
dim_11,ATBR12EE,0.29116729759730137
dim_11,ATBR10B,0.28374671005489294
dim_11,ATBR12ED,0.281847695200248
dim_11,ATBR12DA,0.2763366225271413
dim_11,ATBR10C,0.2754010797168647
dim_11,ATBR10J,0.2720252504552359
dim_11,ATBR10E,0.2717255930388963
dim_11,ATBR08G,0.2659686966556309
dim_11,ATBR09C,0.26588161399943516
dim_11,ATBR09E,0.2619883073581193
dim_11,ATBR12DC,0.2517690492773781
dim_11,ATBR10H,0.2516425829307415
dim_11,ATBR10I,0.24721106887480349
dim_11,ATBR10A,0.2394071123883884
dim_11,ATBR11C,0.23602256077656714
dim_11,ATBR10L,0.220706701560275
dim_11,ATBR09A,0.21253114024437933
dim_11,ATBR11A,0.2016929751628373
dim_11,ATBR08E,0.19778996286454592
dim_11,ATBG07BF,0.1976744897523909
dim_11,ATBR07AB,0.191358618846266
dim_11,ATBR10K,0.1907870430093992
dim_11,ATBR06D,0.1873493843986985
dim_11,ATBR09B,0.18192844120373136
dim_11,ATBR12BA,0.1765571959273339
dim_11,ATBG07AG,0.17240419721208836
dim_11,ATBR07BB,0.16988467712599364
dim_11,ATBR07BD,0.16937326875099776
dim_11,ATBR18E,0.1681454587605152
dim_11,ATBR11D,0.16797728956248048
dim_11,ATBR08D,0.15279125275232422
dim_11,ATBR11B,0.1522575806990774
dim_11,ATBR18C,0.14438544534586756
dim_12,ATBR12EA,0.4245022165118578
dim_12,ATBR12C,0.34739911384712224
dim_12,ATBR12A,0.3357675945694352
dim_12,ATBR12DB,0.33081960851776376
dim_12,ATBR12DA,0.32956066853561977
dim_12,ATBR12DC,0.3083622782902239
dim_12,ATBR12ED,0.25592754813706725
dim_12,ATBR12BC,0.253745048661348
dim_12,ATBR10G,0.24963627628937843
dim_12,ATBR12EB,0.24815168178677108
dim_12,ATBR12EC,0.2459225446529576
dim_12,ACBG14I,0.2209048075837992
dim_12,ATBR10F,0.2206387678497944
dim_12,ATBR10I,0.20701152666078337
dim_12,ACBG14J,0.20345038277737276
dim_12,ATBR10C,0.18374087415381055
dim_12,ACBG14H,0.18368140254026494
dim_12,ACBG14G,0.18207355203233033
dim_12,ATBR12BA,0.17846020460361983
dim_12,ATBR10J,0.169418113749873
dim_12,ATBR08F,0.16924257956195748
dim_12,ATBR10D,0.16074363890010118
dim_12,ATBR12BD,0.15842105050467323
dim_12,ATBR10H,0.15771395089550866
dim_12,ACBG14N,0.14884377225169995
dim_13,ATBR09I,0.20472025359837576
dim_13,ATBR10K,0.18384516767850825
dim_13,ATBR07BB,0.1668108203125562
dim_13,ATBR18D,0.1567557519269883
dim_13,ACBG20,0.1524977848099872
dim_13,ACBG21D,0.1524977848099872
dim_13,ACBG21E,0.1524977848099872
dim_13,ACBG21B,0.1524977848099872
dim_13,ATBR06B,0.14895826814797644
dim_14,ATBR09D,0.27756449322751514
dim_14,ATBR09C,0.27507422998708825
dim_14,ATBR08E,0.2572401854320017
dim_14,ATBR09A,0.2031570392798008
dim_14,ATBR09G,0.18228489953984284
dim_14,ATBR06D,0.1672797694678082
dim_14,ATBR12EA,0.14970757163446222
dim_14,ATBR08G,0.1421549913036501
dim_15,ACBG14K,0.25142528206463194
dim_15,ACBG14I,0.24841583613771945
dim_15,ACBG14H,0.2419622427248281
dim_15,ACBG14L,0.23488516672137197
dim_15,ACBG14J,0.230306325275771
dim_15,ACBG14N,0.22809894154221627
dim_15,ATBR11B,0.21096767355195312
dim_15,ACBG14M,0.18849479383786463
dim_15,ATBR09F,0.16808061345643688
dim_15,ATBR10E,0.15476280892960742
dim_15,ATBR09H,0.15080457025420457
dim_16,ATBG05BC,0.17335630152235973
dim_16,ATBG05BI,0.1651641036413988
dim_16,ATBG05BF,0.16451418470153537
dim_17,ATBR13B,0.21524579455935217
dim_17,ATBR13A,0.19901508512235844
dim_17,ATBR11C,0.19382649479121708
dim_17,ACBG14I,0.18452857488502247
dim_17,ACBG14N,0.16501330011302523
dim_17,ATBR12EC,0.15942278550329056
dim_17,ACBG13,0.14730561680884788
dim_17,ATBR11A,0.14388401880169216
dim_18,ATBR17A,0.2661380664697237
dim_18,ATBR12EB,0.24962991623144343
dim_18,ACBG20,0.1886096291944954
dim_18,ACBG21B,0.1886096291944954
dim_18,ACBG21E,0.1886096291944954
dim_18,ACBG21D,0.1886096291944954
dim_18,ATBR12C,0.17470472875108412
dim_18,ATBG07BB,0.14887559479193768
dim_19,ATBR08E,0.23436913875726223
dim_19,ATBR09C,0.2138281083722534
dim_19,ATBR09D,0.20396394381372732
dim_19,ATBR08G,0.20141903057631613
dim_19,ATBR09A,0.19749923371570208
dim_19,ATBR09F,0.1652240838727764
dim_20,ATBR12EA,0.15764798883505193
dim_20,ATBR09C,0.154923538517077
dim_21,ACBG14F,0.2203752831161613
dim_21,ACBG14B,0.2194990785744245
dim_21,ACBG14H,0.20102106182807905
dim_21,ACBG14I,0.17390613651858372
dim_21,ATBR06C,0.14103846263480188
dim_22,ATBR08G,0.23171698426813792
dim_22,ATBG08D,0.2223990078005745
dim_22,ATBG08C,0.20085556588576434
dim_22,ATBR10K,0.16533177073109262
dim_22,ATBR10E,0.14267633554210987
dim_22,ATBG08E,0.14053286097138198
dim_23,ACBG14L,0.22510148975649105
dim_23,ACBG14N,0.21122001757148018
dim_23,ACBG14M,0.18053947252110716
dim_23,ATBR11C,0.17024502104133268
dim_24,ATBR12EA,0.19494365490905727
dim_24,ATBR11D,0.14208207630807507
dim_25,ACBG14M,0.1708877083448872
dim_25,ATBR09F,0.16182276840313456
dim_25,ACBG14L,0.14066136294113796
