component,var_name,corr_coeff
dim_01,ASRREA,0.9733144905970169
dim_01,ASRIIE,0.9677644056551183
dim_01,ASRRSI,0.9637254707341915
dim_01,ASRINF,0.9602292226788207
dim_01,ASRLIT,0.9564981614764542
dim_02,ASBHELN,0.9689869124030608
dim_02,ASBHELA,0.8889771019427654
dim_02,ASBHENA,0.8769314180290116
dim_03,ASBGERL,0.855520331615189
dim_03,ASBGSSB,0.7784990304313109
dim_03,ASBGSLR,0.758607403779062
dim_03,ASBGSEC,0.5111870840261851
dim_04,ATBR01B,0.9636908828030981
dim_04,ATBR01A,0.9625664264365228
dim_05,ASBGHRL,0.9379979389812463
dim_05,ASBHSES,0.9378724140422465
dim_06,ACBG15,0.8704538471604776
dim_06,ACBG16,0.8472694934587135
dim_07,ATBGTJS,0.7368279428358301
dim_07,ATBGSOS,0.713300966442303
dim_07,ATBGEAS,0.6551302428105521
dim_08,ATDGRIHY,0.6469974649876543
dim_08,ATBR02B,-0.5902958389982936
dim_08,ACDGTIHY,-0.5805370927831806
dim_08,ACBG09,-0.5353865538585625
dim_09,ATBGSLI,0.597725902612474
dim_09,ACBGDAS,0.544104517399008
dim_09,ATBR02A,-0.5277342582195388
dim_10,ASBGSB,0.7697213797360585
dim_10,ASBGDRL,0.7374986333870217
