component,var_name,var_value,component_mean,component_std
dim_11,ATBR09G,1,-0.26910373895461553,0.1528659925644906
dim_11,ATBR09G,2,-0.12722111618614754,0.2108709841843189
dim_11,ATBR09G,3,0.08240895983341344,0.2310484321621411
dim_11,ATBR09G,4,0.3063169898594666,0.24833081656400616
dim_11,ATBR12EC,1,-0.20321396516443252,0.33602631608024913
dim_11,ATBR12EC,2,-0.3424370996991083,0.1366327563023294
dim_11,ATBR12EC,3,-0.17120702399368276,0.1698260635029652
dim_11,ATBR12EC,4,0.11415653874687609,0.23986368392813226
dim_11,ATBR10F,1,-0.1913874682891899,0.18607189024844778
dim_11,ATBR10F,2,-0.0020510322235850953,0.22824810686705488
dim_11,ATBR10F,3,0.262128120435422,0.2506445330064737
dim_11,ATBR10F,4,0.2995556737354053,0.011178464609503336
dim_11,ATBR12EB,1,-0.3095412664367022,0.24623758903153917
dim_11,ATBR12EB,2,-0.25775573097054316,0.12580080633797633
dim_11,ATBR12EB,3,-0.14629566382809306,0.19921052049852325
dim_11,ATBR12EB,4,0.11070926566038593,0.23993191096375308
dim_11,ATBR10G,1,-0.15828426397709522,0.21365588141538938
dim_11,ATBR10G,2,0.013308605134533033,0.24383124816876428
dim_11,ATBR10G,3,0.32502652316567,0.15353817450609325
dim_11,ATBR10G,4,0.5108162970092135,0.08386912773098998
dim_11,ATBR12C,1,-0.1915780390377904,0.2767181721677427
dim_11,ATBR12C,2,-0.21767855413017234,0.1633699477917008
dim_11,ATBR12C,3,-0.09624439336578723,0.1996231906263768
dim_11,ATBR12C,4,0.14265609290803039,0.23867436595301303
dim_11,ATBR08H,1,-0.2325913530785146,0.20237481950832806
dim_11,ATBR08H,2,-0.1386815051386431,0.22278106019821148
dim_11,ATBR08H,3,0.03406931851204696,0.22757569457541935
dim_11,ATBR08H,4,0.27834894023865164,0.2341146568231492
dim_11,ATBR09D,1,-0.1838020008330928,0.21805317838650953
dim_11,ATBR09D,2,0.025667295372961824,0.24062670728459512
dim_11,ATBR09D,3,0.17763654614865704,0.20698758531586292
dim_11,ATBR09D,4,0.7780022051122452,0.15348733028461317
dim_11,ATBR09F,1,-0.2483349062675354,0.1851321266131061
dim_11,ATBR09F,2,-0.0643735362287786,0.20763653731209777
dim_11,ATBR09F,3,0.09465301777625885,0.24252187403701975
dim_11,ATBR09F,4,0.3465128771038114,0.2908726724184918
dim_11,ATBR12DB,1,-0.34198021271771484,0.12438015330144164
dim_11,ATBR12DB,2,-0.10776275870823673,0.22422580856771362
dim_11,ATBR12DB,3,0.11517381352564542,0.2400188559337244
dim_11,ATBR12EA,1,-0.21507407699692266,0.15383879378702695
dim_11,ATBR12EA,2,-0.30726491550577717,0.23435243564457242
dim_11,ATBR12EA,3,-0.09969387799195367,0.2175913713923173
dim_11,ATBR12EA,4,0.11065296999956399,0.23845441930940503
dim_11,ATBR10D,1,-0.23401849501487593,0.17607450590798424
dim_11,ATBR10D,2,0.026114846348053306,0.2422426497034195
dim_11,ATBR10D,3,0.2038265724303366,0.24218107908482617
dim_11,ATBR10D,4,0.17999467235060518,0.007852702226053434
dim_11,ATBR12A,1,-0.1485526294326977,0.21657215716316686
dim_11,ATBR12A,2,0.14994792651565986,0.23800201585736672
dim_11,ATBR12BC,1,-0.17131979580011764,0.20359234134783707
dim_11,ATBR12BC,2,0.12746565241867452,0.24531312021438917
dim_11,ATBR12EE,1,-0.1036226612742247,0.19570076228699476
dim_11,ATBR12EE,2,-0.2847896981651599,0.1318949377715728
dim_11,ATBR12EE,3,-0.20336397002507783,0.18406442700428324
dim_11,ATBR12EE,4,0.10126496902983356,0.2501931501953603
dim_11,ATBR10B,1,-0.1749392785483441,0.20384774719371576
dim_11,ATBR10B,2,0.10934347532973399,0.24688165326657033
dim_11,ATBR10B,3,0.29632038528481625,0.22979416487686344
dim_11,ATBR12ED,1,0.1515276134531066,0.007180588981560538
dim_11,ATBR12ED,2,-0.3288099567293241,0.12638525140546925
dim_11,ATBR12ED,3,-0.1886821939919759,0.20089453892475256
dim_11,ATBR12ED,4,0.08856935955158082,0.2479684679404518
dim_11,ATBR12DA,1,-0.39501994432920823,0.10721117009757669
dim_11,ATBR12DA,2,-0.11756496185141574,0.21982330373201464
dim_11,ATBR12DA,3,0.10513874562369604,0.24629110233182014
dim_11,ATBR10C,1,-0.15214524208614594,0.20515369305089046
dim_11,ATBR10C,2,0.07058817673495285,0.2565363864548742
dim_11,ATBR10C,3,0.3091831477803073,0.19580204407757795
dim_11,ATBR10J,1,-0.21474138860004377,0.14744862305930875
dim_11,ATBR10J,2,-0.08622516936366344,0.23430730310285297
dim_11,ATBR10J,3,0.10089222859634978,0.24049326755661413
dim_11,ATBR10J,4,0.3071669849362216,0.26627919844556336
dim_11,ATBR10E,1,-0.28459081928154145,0.16207317491151818
dim_11,ATBR10E,2,-0.0013587240624476807,0.24505539072314245
dim_11,ATBR10E,3,0.1443101121814046,0.25396084735019897
dim_11,ATBR10E,4,0.19060245606400256,0.12694139036149185
