ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG05A,ASBG05B,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG05J,ASBG05K,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG10F,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH04,ASBH06,ASBH07F,ASBH09,ASBH14A,ASBH14B,ASBH14C,ASBH16,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG04,ACBG05A,ACBG05B,ACBG07A,ACBG07B,ACBG07C,ACBG08,ACBG13,ACBG14A,ACBG14B,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12BD,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
10.08,552.21939,537.118,570.887032,545.8552540000001,578.08079,4.64298,10.82106,12.567489999999998,9.56347,11.50099,8.96826,8.72693,6.87523,7.22491,6.686340000000001,6.649019999999999,6.533990000000001,13.91988,9.60369,6.9618,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,1,4,1,2,2,2,2,2,2,2,2,2,5,2,3,3,1,1,1,1,4,1,1,3,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,3,1,1,2,2,1,6,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,3,3,3,2,3,3,1,1,3,4,5,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,3,2,3,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,3,2,3,2,4,3,3,2,3,3,4,3,1,4,4,4,2,2,2,2,2,2,4,4,3,3,2,2,2,3,3,1,3,1,2,1,2,4,1,2,4,3,4,4,4,4,1,3,3,4,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,4,1,1,4,2,3,3,1,1,1,2,2,3,2,5,3,2,2,2
9.42,474.414598,497.309526,493.790544,488.57467999999994,496.55046,9.79644,5.88997,9.528710000000002,5.526560000000001,8.6804,2.10925,8.1368,9.915260000000002,9.91394,8.48851,8.81024,8.57506,13.91988,12.13203,9.34052,300.0,17.0,17.0,9.24037,11.32571,12.9615,910.0,26.0,25.0,25.0,1.0,8.0,9.44107,11.59162,8.0184,10.90415,182.0,39.0,2,3,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,4,4,4,3,1,2,3,1,3,2,3,3,3,1,1,1,2,2,2,2,2,1,1,1,1,1,1,6,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,4,2,1,1,1,1,1,4,2,3,3,4,4,4,4,3,1,1,2,5,1,1,1,1,1,1,1,2,2,1,2,1,5,1,2,2,1,3,3,3,3,2,3,3,3,3,2,3,1,1,1,1,3,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,3,2,2,3,3,2,2,2,1,2,3,4,3,3,1,2,1,1,2,1,1,2,3,3,2,2,2,2,2,4,2,3,3,1,2,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,3,3,3,4,4,4,4,4,1,4,4,1,1,3,3,2,1,2,2,2,2,2,1,1,5,2,1,2,1
10.17,492.1755059999999,499.082124,509.887994,496.79479200000003,504.049308,10.97885,8.64972,9.528710000000002,8.28542,10.21804,9.17072,7.84162,8.94299,8.92588,8.48851,10.04897,9.2165,12.12899,10.10603,8.88647,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,2,3,1,1,1,2,2,2,2,1,2,1,5,2,3,2,2,1,3,2,1,2,2,1,2,1,2,2,2,3,2,2,2,1,2,2,2,2,1,3,1,2,1,1,1,6,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,3,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
10.25,440.074292,404.8449519999999,444.540166,423.417008,416.20734,11.61875,12.852619999999998,12.567489999999998,13.33453,10.57259,11.30153,7.532170000000001,10.54337,9.99175,8.91792,10.04897,9.43432,11.18387,10.83953,9.10865,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,1,2,1,1,1,1,1,1,2,2,2,2,5,3,1,2,2,1,1,1,1,3,1,1,1,1,1,2,1,3,3,1,1,1,2,2,2,2,1,1,1,3,2,1,1,6,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
9.75,334.737584,358.425952,358.63146199999994,350.98048800000004,338.437856,9.25019,9.82079,7.1104,10.0428,10.21804,8.22519,8.428240000000002,9.60729,9.3078,7.16522,8.81024,7.93271,8.72843,10.83953,7.40977,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,1,1,1,1,1,2,2,1,2,1,1,1,5,1,3,1,1,1,4,4,4,1,1,2,1,3,1,2,3,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,5,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,3,1,3,4,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
9.42,292.508212,277.311108,321.503112,304.32897799999995,276.067918,8.5893,7.55475,7.258540000000001,7.440709999999999,9.60657,7.871339999999999,8.428240000000002,9.29058,9.3078,6.542880000000001,10.04897,8.38136,9.761769999999999,12.13203,9.8488,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,1,2,4,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
9.58,616.17828,558.512122,615.390732,592.29647,593.01828,8.77882,10.82106,9.264140000000001,13.33453,8.6804,10.45984,9.8041,11.743920000000001,12.27791,10.77067,10.04897,10.3576,13.91988,10.10603,13.71967,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,1,4,1,1,1,1,2,2,1,1,1,2,5,2,4,2,2,1,2,2,3,3,3,2,1,1,1,2,1,2,3,2,2,1,2,2,2,2,1,2,1,2,1,1,1,6,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
10.58,430.818368,424.70814600000006,444.574094,428.789962,437.80543,9.25019,8.23773,7.76886,8.05152,7.23115,7.495559999999999,7.19857,10.89263,10.72985,9.35253,8.40746,8.78784,10.10135,12.13203,10.8815,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,2,2,1,1,1,1,1,1,1,1,2,2,5,2,3,2,2,1,2,3,4,2,1,2,2,2,2,3,3,3,3,2,3,1,2,2,2,2,1,3,2,3,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,4,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
9.75,520.914924,472.72,543.7900139999999,492.09645599999993,505.2891659999999,8.55821,7.55475,8.33331,8.54449,10.57259,8.40525,8.1368,8.94299,9.3078,9.79887,10.04897,9.88273,11.18387,10.83953,8.2504,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,2,3,1,1,1,1,1,2,2,2,2,1,5,3,3,2,2,1,3,2,3,3,1,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,3,2,2,1,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,3,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
10.75,509.102794,492.331896,513.338722,521.48345,526.326294,9.79644,9.15299,10.965,9.56347,11.50099,6.88069,5.377279999999999,9.915260000000002,11.37469,10.26741,9.62426,9.88273,9.0796,5.23156,7.40977,130.0,6.0,6.0,6.42218,7.23401,6.67362,1061.33333,7.0,27.0,27.0,2.0,2.0,8.83963,10.40627,8.67953,8.54995,159.2,26.53333,2,3,1,1,2,1,1,1,2,1,1,2,3,1,1,1,1,1,4,4,4,4,1,2,2,1,1,2,3,3,3,1,1,1,2,2,2,2,1,2,2,2,1,1,1,6,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,3,1,1,2,2,2,3,3,3,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,1,2,2,5,1,1,1,2,1,1,1,3,3,3,3,1,3,2,2,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,4,4,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,3,3,3,3,4,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,5,3,1,2,2
