variable_name,shap_importance
ASRREA,0.99537313
ASBHELN,0.5209833
ACBG15,0.48780435
ATBGTJS,0.33360383
ACBG09,0.31435314
ASBHSES,0.24107024
ATBGEAS,0.23444359
ACDGTIHY,0.21399046
ACBGEAS,0.1976617
ATBGSOS,0.1963224
ACBGDAS,0.19194582
ASBGHRL,0.18927224
ASBGSCR,0.15872627
ASBHPLR,0.14638586
ASBGSLR,0.13270158
ASBGSSB,0.12969518
ASBHELT,0.1246265
ATBR02B,0.10798151
ATBR02A,0.08339502
ATDGLIHY,0.07811025
ATBR01A,0.07738989
ATBR01B,0.07492457
ATBG01,0.069500014
ATDGRIHY,0.055700798
ATBGSLI,0.055479158
ACBGRRS,0.042502273
ATBR14,0.02300443
ATBR10H,0.021477602
ACBG17,0.02008252
ATBR18E,0.0135726975
ATBR12DC,0.011215983
ATBR08H,0.0107615255
ACBG21F,0.0015097825
