component,var_name,corr_coeff
dim_01,ASRREA,0.9772090715826823
dim_01,ASRRSI,0.9751690071274307
dim_01,ASRIIE,0.9735135264996627
dim_01,ASRINF,0.9614390063129693
dim_01,ASRLIT,0.9582903324707739
dim_02,ASBHELN,0.9694410731721879
dim_02,ASBHELA,0.8878256571133508
dim_02,ASBHENA,0.8670459279827037
dim_03,ATBGEAS,0.815018440851021
dim_03,ATBGSOS,0.7463558572040679
dim_03,ATBGTJS,0.7155078489824753
dim_03,ACBGDAS,0.5070072344485802
dim_04,ASBGERL,0.8289283323804828
dim_04,ASBGSLR,0.8172552619409815
dim_04,ASBGSSB,0.7439032279162545
dim_04,ASBGSEC,0.5860511831707705
dim_04,ASBGSCR,0.5231846408972467
dim_05,ASBGHRL,0.8785299561937059
dim_05,ASBHSES,0.8734557712309123
dim_06,ACBG16,0.8924647821392389
dim_06,ACBG15,0.865389498355577
dim_07,ATBR01A,0.8477939130265844
dim_07,ATBR01B,0.8376958218559303
dim_08,ACBG09,0.815581884128421
dim_08,ACBGEAS,0.6479524745944618
dim_09,ATBG01,0.7129397959193764
dim_09,ACBGRRS,-0.5166639343844843
dim_10,ASBGSB,0.7979271082596409
dim_10,ASBGDRL,0.7855776907936319
