component,var_name,var_value,component_mean,component_std
dim_11,ATBR10G,1,-0.21914529576994501,0.23701639429652308
dim_11,ATBR10G,2,0.08306650707574552,0.1891201409676591
dim_11,ATBR10G,3,0.3413860409064395,0.2001983442664887
dim_11,ATBR10G,4,0.4403131226720298,0.2926142560491927
dim_11,ATBR10I,1,-0.27885128742345117,0.2173111764738582
dim_11,ATBR10I,2,0.024620682331609477,0.22514070575614412
dim_11,ATBR10I,3,0.24647190380905581,0.22227463050000792
dim_11,ATBR10I,4,0.267897420597248,0.1881943951605114
dim_11,ATBR10J,1,-0.256904619366444,0.2422487322726997
dim_11,ATBR10J,2,-0.07425805515059067,0.23233242540013405
dim_11,ATBR10J,3,0.22224134050235908,0.2163014972891351
dim_11,ATBR10J,4,0.20278261469562883,0.21504505352333664
dim_11,ATBR10H,1,-0.30754388821704404,0.21065230085667963
dim_11,ATBR10H,2,-0.04487197954808544,0.24194245649184026
dim_11,ATBR10H,3,0.1665717705477064,0.23889152716461998
dim_11,ATBR10H,4,0.1945922516744046,0.20624743934601972
dim_11,ATBR10E,1,-0.2711721156564566,0.22038524445549254
dim_11,ATBR10E,2,-0.010768477516247061,0.24826740313521892
dim_11,ATBR10E,3,0.19378529892276233,0.21222855363571164
dim_11,ATBR10E,4,0.3786766293653121,0.21049363368814106
dim_11,ATBR08F,1,-0.1329964495259764,0.2426600628871943
dim_11,ATBR08F,2,0.18208401069599314,0.2178007346867742
dim_11,ATBR08F,3,0.34953032068560663,0.20949566755183577
dim_11,ATBR10B,1,-0.1789921515819674,0.2396169158638895
dim_11,ATBR10B,2,0.10878986969885567,0.23852530777995556
dim_11,ATBR10B,3,0.481527514258466,0.15754900882048573
dim_11,ATBR10F,1,-0.22053216694063243,0.25508819938070637
dim_11,ATBR10F,2,0.05161532327892912,0.2127516254524064
dim_11,ATBR10F,3,0.2793095970363715,0.27044640031754746
dim_11,ATBR10F,4,0.1604406843076938,0.21693786399170017
dim_11,ATBR09G,1,-0.24214977370594398,0.25329871673278304
dim_11,ATBR09G,2,-0.06347215900144527,0.25504102025342795
dim_11,ATBR09G,3,0.1758258294579856,0.22193245735513772
dim_11,ATBR09G,4,0.11275936156214572,0.17009762996363606
dim_11,ATBR09D,1,-0.19969490885765165,0.2529901999058234
dim_11,ATBR09D,2,0.0782901318105392,0.233970524750876
dim_11,ATBR09D,3,0.25513576798843024,0.20031220757730517
dim_11,ATBR09D,4,0.5856030093449648,0.21694450716080707
dim_11,ATBR10C,1,-0.10693678346446536,0.25807778257743197
dim_11,ATBR10C,2,0.12538588123445893,0.20868532872079276
dim_11,ATBR10C,3,0.4588952238766958,0.1622381780250346
dim_11,ATBR10C,4,0.7542143270445423,0.015050156328770612
dim_11,ATBR09I,1,-0.27783793948703067,0.2914561783512872
dim_11,ATBR09I,2,-0.05579318148093747,0.21634766836855654
dim_11,ATBR09I,3,0.12697628321279777,0.23902940206888004
dim_11,ATBR09I,4,0.4156775506226055,0.1693641895351739
dim_11,ATBR10D,1,-0.1685358120822158,0.2533919466846066
dim_11,ATBR10D,2,0.047235657785280424,0.23107955546345071
dim_11,ATBR10D,3,0.3735666467688645,0.23589646040243778
dim_11,ATBR10D,4,0.46279517383968816,0.022225777816668298
dim_11,ATBR15,1,0.30505308700923583,0.3134254587911593
dim_11,ATBR15,2,0.13270922945182423,0.23039994127215024
dim_11,ATBR15,3,-0.09598986867392961,0.22418674654810808
dim_11,ATBR15,4,-0.29251257220790966,0.28708689393342735
dim_11,ATBR15,5,-0.25922959584358096,0.2663393803689047
dim_11,ATBR09F,1,-0.2355402043210119,0.23746361721021952
dim_11,ATBR09F,2,0.019033885750376515,0.26461521232108676
dim_11,ATBR09F,3,0.16179094826323495,0.23184634548355257
dim_11,ATBR09F,4,0.2579141958337754,0.1259307932976251
dim_11,ATBR11A,1,-0.289390557622302,0.24019293369273556
dim_11,ATBR11A,2,-0.054316369080337705,0.26574808273227774
dim_11,ATBR11A,3,0.15361609046418484,0.210221226154163
dim_11,ATBR11A,4,0.4362400587543505,0.21203496045243697
dim_11,ATBR08G,1,-0.1716671217052838,0.2445137647915617
dim_11,ATBR08G,2,-0.03704494995732062,0.25726762773702355
dim_11,ATBR08G,3,0.24450636039662424,0.2079826160235298
dim_11,ATBR08G,4,0.37419781676293107,0.2618944011783873
dim_11,ATBR06C,1,-0.24429712731082667,0.24545486359536783
dim_11,ATBR06C,2,-0.03091179478425232,0.2333988254784296
dim_11,ATBR06C,3,0.1131495874882879,0.2527459467746396
dim_11,ATBR06C,4,0.32377370862251414,0.2551270726498547
dim_11,ATBR08H,1,-0.1433761069798747,0.23691963081186995
dim_11,ATBR08H,2,-0.1524870145412925,0.2735010081240774
dim_11,ATBR08H,3,0.06415874431493025,0.2367572111097572
dim_11,ATBR08H,4,0.23332613152349302,0.23580806272780389
dim_11,ATBR09C,1,-0.18868940030496947,0.2462962540692263
dim_11,ATBR09C,2,0.09188889045880196,0.2601918584669208
dim_11,ATBR09C,3,0.16821036954927873,0.23826233362692661
dim_11,ATBR09C,4,0.31395144194008984,0.01859511368457103
dim_11,ATBR07BB,1,-0.17088144273704128,0.12351029681530527
dim_11,ATBR07BB,2,-0.3081176988138853,0.2962023717043821
dim_11,ATBR07BB,3,-0.005982942431558464,0.2190364294291248
dim_11,ATBR07BB,4,0.14096790703120202,0.26659327169740593
dim_11,ATBR12DB,1,-0.13816908138197614,0.2399123771210579
dim_11,ATBR12DB,2,-0.26477464119175564,0.2616093820715542
dim_11,ATBR12DB,3,0.10066012967569715,0.24944217825132842
dim_11,ATBR11C,1,-0.13766784569149837,0.2771054089263439
dim_11,ATBR11C,2,0.018050344533488503,0.23861051906491676
dim_11,ATBR11C,3,0.25924285678749787,0.23255693439987737
dim_11,ATBR11C,4,0.7572783929208922,0.01708619857183084
dim_11,ATBR07AA,1,-0.16930811716500624,0.27364644628924095
dim_11,ATBR07AA,2,0.08491169546883072,0.23376374988803347
dim_11,ATBR07AA,3,0.18319664496346133,0.24540159201445946
dim_11,ATBR07AA,4,0.38539120943532595,0.01838323268190676
dim_11,ATBR14,1,-0.24951210579340713,0.2761950092491675
dim_11,ATBR14,2,0.09458192784080816,0.24723753710104632
dim_11,ATBR14,3,0.013354784746123324,0.16453452405661825
dim_11,ATBR14,4,0.13543122623685996,0.304868473852041
dim_11,ATBR07AD,1,-0.2875034697627366,0.24663006852183758
dim_11,ATBR07AD,2,-0.032408128505169595,0.27520980482307816
