ASDAGE,ASRREA,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ASBH16,ACBG14F,ACBG14G,ACBG14K,ACBG14M,ACBG14N,ACBG20,ACBG21B,ACBG21C,ACBG21F,ATBG05BE,ATBG05BJ,ATBG07BC,ATBG07BF,ATBG08B,ATBG09A,ATBG09D,ATBR06C,ATBR07BC,ATBR08A,ATBR08G,ATBR09B,ATBR09D,ATBR09E,ATBR09G,ATBR09I,ATBR10E,ATBR10G,ATBR10H,ATBR10I,ATBR11D,ATBR12A,ATBR12BB,ATBR13B,ATBR13C,ATBR17A,ATBR17B,ATBR18D,cluster,cluster_pred
10.42,606.734006,10.12086,8.64972,7.90321,10.66007,8.31437,7.865749999999999,7.19857,11.28642,13.04932,11.47732,12.12899,10.83953,9.8488,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,0,0
10.42,518.903994,8.55821,10.82106,8.93357,10.66007,9.89746,9.38515,7.84162,10.89263,10.72985,9.88273,8.72843,7.35062,7.40977,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,5,5
10.17,548.3279319999999,8.34208,8.64972,12.567489999999998,8.05152,9.42264,8.40525,8.72693,9.60729,9.99175,8.57506,9.422330000000002,10.10603,7.8339,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.08,611.0974979999999,10.30815,6.93638,9.03816,8.05152,10.21804,8.7748,13.45388,8.18238,7.22491,8.57506,9.0796,7.35062,9.34571,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.000000000000002,408.254972,8.34208,7.87932,12.567489999999998,7.25705,9.89746,5.35292,5.95198,10.22238,10.34719,10.3576,10.801940000000002,8.46496,8.67085,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,5,5
10.000000000000002,572.5677579999999,10.12086,7.55475,9.03816,8.83577,8.31437,10.83607,10.90567,9.29058,9.3078,8.57506,7.97118,5.695990000000001,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.92,672.210684,8.77882,7.87932,9.528710000000002,7.8348,8.6804,8.7748,9.399640000000002,11.74392,13.04932,8.14839,10.801940000000002,8.46496,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,4,4
9.92,485.6863280000001,7.90958,10.82106,8.49098,7.63232,9.60657,10.6419,7.532170000000001,9.29058,9.3078,9.00134,9.76177,12.13203,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,5,5
9.83,634.4690280000001,7.453760000000001,8.23773,12.567489999999998,8.54449,11.50099,9.17072,8.72693,10.89263,10.34719,5.980110000000001,10.801940000000002,7.35062,8.45942,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.83,583.232976,10.50352,10.82106,12.567489999999998,11.54818,12.18062,10.45984,8.1368,12.39198,11.59978,11.16498,10.10135,7.35062,8.88647,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
