ASDAGE,ASRREA,ASRLIT,ASRINF,ASRIIE,ASRRSI,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELA,ASBHENA,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ITSEX,ASRIBM,ASBG03,ASBG05A,ASBG05B,ASBG05E,ASBG05F,ASBG05G,ASBG05H,ASBG05I,ASBG06,ASBG07A,ASBG07B,ASBG08A,ASBG08B,ASBG10F,ASBR03A,ASBR03B,ASBR03C,ASBR04,ASBR05,ASDGSEC,ASDGSSB,ASDGSB,ASDGERL,ASDGDRL,ASDGSLR,ASDGSCR,ASDG05S,ASBH02A,ASBH02B,ASBH03A,ASBH03B,ASBH03C,ASBH03D,ASBH03E,ASBH03F,ASBH04,ASBH06,ASBH07F,ASBH09,ASBH14A,ASBH14B,ASBH14C,ASBH16,ASBH18AA,ASBH18AB,ASBH18BA,ASBH18BB,ASBH18CA,ASBH18CB,ASBH18DA,ASBH18DB,ASBH18EA,ASBH18EB,ASBH18FA,ASBH18FB,ASBH19,ASBH20A,ASBH20B,ASBH20C,ASBH21A,ASBH21B,ASBH21C,ASBH21D,ASBH22,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHPCS,ASDHPLR,ASDHAPS,ASDHEDUP,ASDHOCCP,ACBG04,ACBG05A,ACBG05B,ACBG07A,ACBG07B,ACBG07C,ACBG08,ACBG13,ACBG14C,ACBG14D,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG17,ACBG18A,ACBG18B,ACBG18C,ACBG19,ACBG20,ACBG21A,ACBG21B,ACBG21C,ACBG21D,ACBG21E,ACBG21F,ACDGRRS,ACDGEAS,ACDGDAS,ACDGSBC,ATBG02,ATBG03,ATBG05AA,ATBG05AB,ATBG05AC,ATBG05AD,ATBG05BA,ATBG05BB,ATBG05BC,ATBG05BD,ATBG05BE,ATBG05BF,ATBG05BG,ATBG05BH,ATBG05BI,ATBG05BJ,ATBG05BK,ATBG06,ATBG07AA,ATBG07BA,ATBG07AB,ATBG07BB,ATBG07AC,ATBG07BC,ATBG07AD,ATBG07BD,ATBG07AE,ATBG07BE,ATBG07AF,ATBG07BF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08B,ATBG08C,ATBG08D,ATBG08E,ATBG09A,ATBG09B,ATBG09C,ATBG09D,ATBR06A,ATBR06B,ATBR06C,ATBR06D,ATBR06E,ATBR07AA,ATBR07AB,ATBR07AC,ATBR07AD,ATBR07BA,ATBR07BB,ATBR07BC,ATBR07BD,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08G,ATBR08H,ATBR09A,ATBR09B,ATBR09C,ATBR09D,ATBR09E,ATBR09F,ATBR09G,ATBR09H,ATBR09I,ATBR10A,ATBR10B,ATBR10C,ATBR10D,ATBR10E,ATBR10F,ATBR10G,ATBR10H,ATBR10I,ATBR10J,ATBR10K,ATBR10L,ATBR11A,ATBR11B,ATBR11C,ATBR11D,ATBR11E,ATBR12A,ATBR12BA,ATBR12BB,ATBR12BC,ATBR12C,ATBR12DA,ATBR12DB,ATBR12DC,ATBR12EA,ATBR12EB,ATBR12EC,ATBR12ED,ATBR12EE,ATBR13A,ATBR13B,ATBR13C,ATBR13D,ATBR13E,ATBR14,ATBR15,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18A,ATBR18B,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI
10.42,571.6845880000001,556.834338,587.7918980000001,598.8830260000001,548.195764,10.97885,6.27818,9.264140000000001,10.0428,9.00419,7.097489999999999,10.28978,11.61908,14.45152,10.26741,8.40746,9.2165,12.79881,9.52493,10.8815,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,2,4,2,1,2,1,1,2,2,1,5,1,1,2,1,1,1,1,4,4,2,1,3,1,1,2,3,1,2,1,1,1,2,1,2,1,2,1,3,1,2,1,1,1,6,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
9.58,444.012926,438.96721199999996,511.05193,453.9577820000001,450.755154,6.647640000000001,8.64972,12.567489999999998,7.8348,11.50099,9.17072,8.1368,10.22238,10.34719,7.16522,8.40746,7.714189999999999,9.0796,7.35062,8.2504,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,2,2,1,1,1,2,2,2,1,1,3,3,4,2,1,1,3,2,1,1,1,3,2,1,2,2,2,3,3,1,1,1,2,2,2,2,2,2,2,2,4,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
9.58,453.83952000000005,448.8778040000001,459.03883,439.926326,438.958458,8.34208,7.24879,10.965,9.56347,9.60657,9.17072,9.0457,12.29825,11.68007,7.61837,11.55635,9.43432,10.10135,3.7563,7.62363,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,2,2,1,1,1,1,1,1,1,1,1,3,3,2,1,1,2,1,2,4,1,3,3,1,1,2,2,2,3,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,1,2,2,3,3,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
10.5,641.019992,626.795162,626.976888,646.490732,638.2559440000001,7.68647,12.852619999999998,12.567489999999998,13.33453,8.31437,9.86291,8.428240000000002,11.28642,10.72985,10.26741,13.20593,11.47732,12.79881,10.10603,9.8488,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,1,5,3,1,1,1,2,2,2,1,5,3,2,2,2,1,2,1,2,2,2,3,1,1,1,2,2,2,3,1,1,1,2,2,2,2,2,1,3,2,4,1,1,1,6,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,2,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
10.42,442.45855200000005,437.288068,448.31442200000004,441.35919399999995,440.95425800000004,7.20676,7.72096,10.965,10.66007,10.57259,9.17072,7.84162,10.543369999999998,10.34719,10.77067,8.85104,9.73692,5.8372,12.13203,12.157349999999997,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,1,2,1,1,1,1,1,1,1,2,1,3,4,2,1,1,2,1,1,2,2,3,2,1,1,2,2,3,3,1,1,1,1,2,2,1,2,1,3,1,4,1,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,3,1,1,4,2,2,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
10.25,536.600846,535.640036,536.2827020000001,484.0102840000001,527.310224,8.34208,9.82079,12.567489999999998,10.66007,15.04369,9.61297,9.8041,8.08848,7.22491,9.79887,9.21443,9.43432,9.0796,7.35062,8.88647,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,1,3,1,1,1,1,1,1,2,2,1,4,4,1,1,1,2,1,4,1,4,3,1,1,1,1,2,2,3,1,1,1,2,2,2,2,2,1,3,2,3,1,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,3,4,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
9.58,593.7628559999999,583.314806,600.8555640000001,615.8480539999999,607.306388,9.51164,6.93638,10.965,5.526560000000001,10.21804,5.76631,8.1368,9.31342,9.48649,10.26741,15.01872,11.82488,13.91988,9.52493,11.399000000000001,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,1,4,1,1,2,1,1,1,2,1,5,4,4,2,2,1,3,1,3,3,1,2,3,1,3,2,3,3,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,2,4,1,4,1,1,1,1,2,1,1,2,1,1,2,2,3,3,2,3,3,4,5,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,4,1,2,2,2,2,2,3,3,2,2,3,2,2,1,1,2,2,2,1,1,2,2,2,3,1,3,1,2,2,2,2,2,2,1,2,1,3,2,1,3,4,1,4,4,3,4,4,4,3,4,3,3,3,4,1,4,4,1,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,1,2,1,1,1,2,2,2,4,4,4,4,4,1,4,4,1,1,2,5,2,2,3,1,2,1,3,3,3,5,3,1,2,2
10.000000000000002,437.996966,398.22613200000006,406.57082399999996,400.673078,397.416902,7.07806,9.82079,10.1949,9.56347,8.6804,8.58785,6.42311,8.94299,8.47905,10.26741,9.62426,9.88273,9.0796,12.13203,9.10865,120.0,19.0,7.0,10.06135,7.8534999999999995,10.28902,853.3333299999999,4.0,29.0,29.0,2.0,4.0,9.13986,13.6815,8.67953,9.1022,214.81481,37.03704,2,2,2,2,2,2,2,1,2,2,5,1,4,2,1,1,4,3,1,4,1,3,1,1,1,2,2,3,3,1,1,1,1,2,2,2,2,1,2,2,3,1,1,1,3,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,1,2,3,2,2,3,2,3,1,2,1,2,3,2,2,3,3,3,3,3,4,4,4,4,4,3,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,2,2,3,4,3,3,3,3,3,2,2,2,2,1,2,2,1,3,3,3,2,2,2,3,1,1,2,2,2,2,2,3,3,2,3,2,3,4,3,2,2,2,2,1,2,1,1,1,2,2,3,2,3,4,4,4,1,3,2,2,1,2,2,2,2,2,2,1,1,2,2,3,2,3,1,2,2
10.25,475.48250200000007,473.29957,501.05007200000006,491.0071919999999,485.0552140000001,2.95473,6.93638,9.322810000000004,7.25705,7.86603,7.097489999999999,6.42311,11.28642,12.27791,10.77067,11.55635,11.16498,10.445390000000002,9.52493,10.8815,120.0,19.0,7.0,10.06135,7.8534999999999995,10.28902,853.3333299999999,4.0,29.0,29.0,2.0,4.0,9.13986,13.6815,8.67953,9.1022,214.81481,37.03704,2,3,1,2,1,2,2,2,2,2,5,1,1,1,1,3,2,4,4,4,1,3,3,1,2,3,3,3,3,1,1,1,2,2,2,1,2,1,3,2,4,1,1,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,1,1,4,1,2,3,2,3,1,2,1,2,3,2,2,3,3,3,3,3,4,4,4,4,4,3,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,2,2,3,4,3,3,3,3,3,2,2,2,2,1,2,2,1,3,3,3,2,2,2,3,1,1,2,2,2,2,2,3,3,2,3,2,3,4,3,2,2,2,2,1,2,1,1,1,2,2,3,2,3,4,4,4,1,3,2,2,1,2,2,2,2,2,2,1,1,2,2,3,2,3,1,2,2
10.08,608.508424,623.0502280000001,616.7292279999999,600.077104,627.756974,10.97885,8.64972,9.528710000000002,7.25705,8.6804,9.17072,10.90567,10.22238,9.65449,11.33758,13.20593,12.22172,10.445390000000002,12.13203,7.62363,120.0,19.0,7.0,10.06135,7.8534999999999995,10.28902,853.3333299999999,4.0,29.0,29.0,2.0,4.0,9.13986,13.6815,8.67953,9.1022,214.81481,37.03704,2,4,1,2,1,2,1,1,2,1,5,3,3,3,3,1,2,1,2,1,2,1,2,1,2,2,2,1,3,1,1,1,1,2,2,2,2,1,2,2,3,1,1,1,5,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,2,2,1,1,1,2,1,3,3,3,2,3,2,3,1,2,1,2,3,2,2,3,3,3,3,3,4,4,4,4,4,3,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,2,2,3,4,3,3,3,3,3,2,2,2,2,1,2,2,1,3,3,3,2,2,2,3,1,1,2,2,2,2,2,3,3,2,3,2,3,4,3,2,2,2,2,1,2,1,1,1,2,2,3,2,3,4,4,4,1,3,2,2,1,2,2,2,2,2,2,1,1,2,2,3,2,3,1,2,2
