variable_name,shap_importance
ASRREA,0.9996714
ASBHELN,0.5836723
ATBR01A,0.55379266
ATBR02B,0.41246647
ACBGRRS,0.27640402
ASBHSES,0.2580865
ATDGRIHY,0.18912457
ASBGERL,0.17732248
ASBGHRL,0.16487291
ATBGSOS,0.12517528
ACBGDAS,0.11670153
ASBGSLR,0.11181401
ASBHPLR,0.10182345
ATBGSLI,0.09307808
ASBGSSB,0.09217794
ACBG15,0.08751028
ASBHPCS,0.0762054
ATBGTJS,0.07167575
ASBGSCR,0.07084774
ASBGSEC,0.07005125
ASBHELT,0.061743252
ACBG09,0.057009194
ATBR02A,0.05390448
ASBGDRL,0.04985228
ASDAGE,0.04349424
ATBG01,0.038252976
ATBGEAS,0.037217695
ATDGLIHY,0.029384678
ATBR09E,0.02728861
ACDGTIHY,0.026118236
ASBGSB,0.024251707
ACBG14G,0.021668434
ACBG21B,0.02064131
ACBG14F,0.018312378
ASBH16,0.017851572
ATBG05BE,0.016967397
ACBGEAS,0.015641415
ATBR10G,0.013326197
ATBR07BC,0.012170027
ATBR09G,0.011731574
ACBG16,0.010956707
ATBR08A,0.010877176
ATBR12A,0.009362724
ACBG14N,0.008795123
ACBG20,0.00864819
ATBR10E,0.008435929
ATBR17A,0.0076407264
ATBR18D,0.007210623
ATBG09D,0.0064676274
ATBR06C,0.0062428294
ATBG09A,0.0060129166
ATBR13B,0.0056263334
ACBG14K,0.00492648
ACBG21F,0.0047570746
ATBR10H,0.0044204188
ATBR09D,0.0042912913
ATBR11D,0.0040937597
ATBG08B,0.0035560748
ATBR12BB,0.003293397
ATBG05BJ,0.0031651736
ACBG14M,0.003085424
ATBR09B,0.0028764082
ATBR17B,0.0028730438
ACBG21C,0.0027269956
ATBR13C,0.002529
ATBR10I,0.0020494056
ATBR09I,0.0019206398
ATBG07BC,0.0018502757
ATBR08G,0.0012757414
ATBG07BF,0.0011149308
ATBR01B,0.0
