component,var_name,corr_ratio
dim_11,ATBR10C,0.5644754297944029
dim_11,ATBR09E,0.5371590474370469
dim_11,ATBR09C,0.5046939704471249
dim_11,ATBR10J,0.48765529188528894
dim_11,ATBR10F,0.48162030434297987
dim_11,ATBR10I,0.47690355255249595
dim_11,ATBR10A,0.4714109312299543
dim_11,ATBR09D,0.4650564459422649
dim_11,ATBR09G,0.45234067926708904
dim_11,ATBR10G,0.4516875833419278
dim_11,ATBR09F,0.43322112480060926
dim_11,ATBR10B,0.4193035058165677
dim_11,ATBR08E,0.38678298072556955
dim_11,ATBR11B,0.3721462212314695
dim_11,ATBR11C,0.36429760728074007
dim_11,ATBR08G,0.36270837476820195
dim_11,ATBR11A,0.3374084083681854
dim_11,ATBR10E,0.3359192060413658
dim_11,ATBR09A,0.33227810117875467
dim_11,ATBR08B,0.31302524385762437
dim_11,ATBR10D,0.2972493519746894
dim_11,ATBR08F,0.2832252821956088
dim_11,ATBR18A,0.27931813096648545
dim_11,ATBR07AB,0.2724282482673336
dim_11,ATBR07BC,0.2632491237234848
dim_11,ATBR09I,0.2532960398397528
dim_11,ATBR08D,0.2436457785515468
dim_11,ATBR18D,0.2389712171785344
dim_11,ATBR07BA,0.23160006650344891
dim_11,ATBR18C,0.22986713559440386
dim_11,ATBR07BD,0.2272391935585636
dim_11,ATBR12EB,0.2244817204591183
dim_11,ATBR08A,0.22416178677183152
dim_11,ATBR08H,0.22347551113444375
dim_11,ATBR10L,0.22160522413748387
dim_11,ATBR10H,0.2190497554823674
dim_11,ATBR09B,0.2063857315265371
dim_11,ATBG05BC,0.20476360103159155
dim_11,ATBR06E,0.1934910032072359
dim_11,ATBG05BI,0.1899195269299668
dim_11,ACBG14I,0.18401512081728696
dim_11,ATBR07BB,0.18156171700106208
dim_11,ATBG08B,0.1800319757432152
dim_11,ATBR19,0.17786949577148123
dim_11,ATBR12EA,0.17492980671511615
dim_11,ATBG05BJ,0.17409268106113804
dim_11,ATBG05BF,0.17130009026445436
dim_11,ATBR06A,0.1702460757256571
dim_11,ATBG02,0.16602946422140283
dim_11,ATBR18E,0.1650281468226813
dim_11,ATBR10K,0.16476204991081148
dim_11,ATBR18B,0.16195000759899006
dim_11,ATBR12C,0.14757898945361736
dim_11,ATBR09H,0.14235643653730756
dim_11,ATBR15,0.14077519419006496
dim_11,ATBG07AC,0.14021540636893798
dim_12,ACBG21D,0.31493409629541713
dim_12,ACBG21E,0.31493409629541713
dim_12,ATBR08D,0.30818478503875446
dim_12,ATBR11E,0.2968815975679983
dim_12,ACBG21A,0.2779716761621828
dim_12,ACBG21B,0.25402031824845905
dim_12,ATBR08E,0.2538432582881539
dim_12,ATBR12EB,0.2535609376898568
dim_12,ACBG20,0.2528260987684363
dim_12,ATBR10G,0.2517946966088061
dim_12,ACBG14G,0.23647409902388214
dim_12,ATBR08B,0.22789731420397524
dim_12,ATBR12C,0.22448976679534038
dim_12,ATBR06D,0.21681827118581104
dim_12,ATBR10I,0.20734173573486867
dim_12,ATBR10F,0.20540576103412791
dim_12,ATBR11B,0.20365794689338804
dim_12,ATBR12EC,0.2032854422370165
dim_12,ATBR07BB,0.1957302052500621
dim_12,ATBG03,0.19533101832379404
dim_12,ATBR19,0.18526046525108658
dim_12,ATBR08H,0.17740599617589725
dim_12,ATBR10E,0.17699723044109777
dim_12,ATBR07AA,0.1723686579447089
dim_12,ATBR07AC,0.162785635515835
dim_12,ATBR09B,0.15941208774213675
dim_12,ATBG08E,0.15874121023048243
dim_12,ATBG05BJ,0.15094643023466287
dim_12,ATBR12EE,0.14920138895806326
dim_12,ACBG21F,0.14887653021716185
dim_12,ATBG07BC,0.14882291595850497
dim_12,ACBG08,0.1438542612896115
dim_12,ATBR07AD,0.14276207676729682
dim_12,ATBG05BD,0.14218386333709052
dim_12,ACBG17,0.14058093437277647
dim_13,ATBR12DA,0.4846332584796669
dim_13,ATBR12A,0.4831600543357552
dim_13,ATBR12BC,0.47450067779193084
dim_13,ATBR12DB,0.4656487889867772
dim_13,ATBR12C,0.46473401399749953
dim_13,ATBR12DC,0.44264838378626575
dim_13,ATBR12EB,0.37462041842443394
dim_13,ATBR12EA,0.33233994574649856
dim_13,ACBG14N,0.28828115138276256
dim_13,ATBR12BB,0.28734627717673283
dim_13,ACBG14K,0.26744209546658065
dim_13,ACBG04,0.24260264570854367
dim_13,ATBR12EC,0.24142415222712493
dim_13,ATBR10E,0.23978601939959449
dim_13,ACBG14H,0.23884373410051993
dim_13,ACBG14J,0.22282514300616327
dim_13,ATBR12EE,0.21816810072691187
dim_13,ACBG14L,0.19694040979087474
dim_13,ATBR10G,0.18880479839920414
dim_13,ATBR10I,0.18139333761158105
dim_13,ACBG14I,0.17914951028810655
dim_13,ACBG14E,0.16917159358521835
dim_13,ATBR12ED,0.16638387286969597
dim_13,ATBR07AA,0.16210929721388742
dim_13,ACBG14G,0.15947480310157458
dim_13,ATDGTJS,0.15574057183294815
dim_13,ATBR10J,0.15271239542739104
dim_13,ATBG05BI,0.1481017561287295
dim_13,ATBR08A,0.14299146415681502
dim_14,ACBG14I,0.4690527623016603
dim_14,ACBG14F,0.40714331101199663
dim_14,ACBG14E,0.3781951968682926
dim_14,ACBG14J,0.3441095166853453
dim_14,ACBG14H,0.3406915935150328
dim_14,ACBG14K,0.319048946814203
dim_14,ACBG14L,0.3154946458351599
dim_14,ACBG14C,0.2977364260843109
dim_14,ACBG14D,0.288209583860703
dim_14,ATBR09F,0.28300187710387215
dim_14,ACBG14G,0.2574863536277125
dim_14,ACBG14N,0.2237620827926869
dim_14,ACBG14M,0.22269876613359738
dim_14,ATBR15,0.22052064438333566
dim_14,ATBR09E,0.2192698598841087
dim_14,ATBR09G,0.19836043897776234
dim_14,ATBR17C,0.18162228066474945
dim_14,ATBR18C,0.17845253645629208
dim_14,ACBG21C,0.17221057437426118
dim_14,ACDGEAS,0.17218120861876804
dim_14,ACBG04,0.16046297136300067
dim_14,ATBR06D,0.1522902916110196
dim_14,ATBG07BA,0.1424618140042748
dim_15,ATBR15,0.37969766276550493
dim_15,ATBR17C,0.3310812032340434
dim_15,ATBR09C,0.3191838176569529
dim_15,ATBR10B,0.26861832699194793
dim_15,ATBR19,0.26088498505730023
dim_15,ATBR17A,0.26046609497726936
dim_15,ATBR13D,0.23266913195163602
dim_15,ATBR10C,0.2299876434649567
dim_15,ATBR10A,0.2158009993847364
dim_15,ATBR10K,0.20283276353784008
dim_15,ATBR17B,0.20058875839003926
dim_15,ATBG05BK,0.19708535538549302
dim_15,ATBR13C,0.1957481763060132
dim_15,ATBR16,0.17318817805156322
dim_15,ATBR10L,0.1715839215728343
dim_15,ACBG20,0.16982126506346815
dim_15,ATBG09D,0.15734061634310534
dim_15,ACBG21F,0.1552624843467587
dim_15,ATBR12EE,0.15360549168821652
dim_15,ACBG21C,0.15261264236811228
dim_15,ATBG07AC,0.15233582014983188
dim_15,ACBG21D,0.15093208565310912
dim_15,ACBG21E,0.15093208565310912
dim_15,ATBR07BD,0.1492416993633552
dim_15,ATBR08B,0.14900036789841994
dim_15,ATBR07BA,0.14428610855186866
dim_15,ATBR07AA,0.1426983759075043
dim_16,ACBG14K,0.30190788891391357
dim_16,ATBR10A,0.2618742402965803
dim_16,ATBR13B,0.2567047225911681
dim_16,ATBR13D,0.2541991947614564
dim_16,ATBR10H,0.24777531735679453
dim_16,ACBG14L,0.24342765213428802
dim_16,ACBG14J,0.24311081504607546
dim_16,ATBR09E,0.2385666500845288
dim_16,ATBR12C,0.2073173194127894
dim_16,ACBG17,0.2016902517885214
dim_16,ACBG18C,0.20008398771356983
dim_16,ATBR10K,0.19868010204520223
dim_16,ACBG14I,0.19189629611328413
dim_16,ATBR10L,0.18461991284599716
dim_16,ATBR09H,0.181244098647964
dim_16,ATBR08E,0.17737398273546875
dim_16,ATDGEAS,0.1766879238955651
dim_16,ATBG05BF,0.169916734784022
dim_16,ATBG09D,0.16426479907280034
dim_16,ATBR08A,0.16332331653792242
dim_16,ATBR09B,0.16068875437939278
dim_16,ATBR08F,0.1531967285078683
dim_16,ATBR07BA,0.14325606515652936
dim_16,ACBG14E,0.14159743704279842
dim_17,ATBG09C,0.31098456392488694
dim_17,ACBG14N,0.30698048399758165
dim_17,ACBG14M,0.30676152002746
dim_17,ATBG09A,0.26878327690219606
dim_17,ATBR11D,0.24191643824018877
dim_17,ATBR12EA,0.23025213088316285
dim_17,ATBG05BC,0.20010766773532587
dim_17,ATBR13D,0.1956005035677428
dim_17,ACBG14L,0.19121532508694758
dim_17,ATBG09D,0.1889000933665317
dim_17,ACBG14K,0.18768866711566135
dim_17,ACBG14G,0.18512315757776493
dim_17,ACBG05A,0.16736956081012558
dim_17,ATBG08C,0.16736751847195888
dim_17,ATBG07BA,0.1575154025145006
dim_17,ACBG20,0.14965144360405344
dim_18,ACBG14H,0.32016052969850683
dim_18,ATBR12ED,0.23392347526143517
dim_18,ATBR06E,0.2257560281189415
dim_18,ATBR09D,0.21813683007582346
dim_18,ACBG14J,0.21212076304989536
dim_18,ATBR09H,0.2017705706837056
dim_18,ACBG14K,0.1867142809999604
dim_18,ACBG14L,0.18424601651388625
dim_18,ACBG14M,0.18268634215901514
dim_18,ATBR09E,0.17981322810474154
dim_18,ATBR14,0.17263673415902833
